XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿DNSVersion.xml,BIND Version Query,This threat queries a nameserver for its version information.  Used by attackers to determine ways to attack an infrastructure based on vulnerabilities on that version of BIND.,DNS,UDP,||12 ||4||00 80 00 01 00 00 00 00 00 00 07 ||version||04 ||bind||00 00 10 00 03||
﻿DNSfloodSpoofedReq.xml,DNS Spoofed Request Flood,This threat attacks a DNS server by sending multiple DNS requests from spoofed IP addresses. This causes resource starvation of the DNS server.  The domain name that is queried is imperfectnetworks.com.,DNS,UDP,||00 12 01 00 00 01 00 00 00 00 00 00 11 ||imperfectnetworks||03 ||com||00 00 01 00 01||
DNSfloodSpoofedReq.xml,DNS Spoofed Request Flood,This threat attacks a DNS server by sending multiple DNS requests from spoofed IP addresses. This causes resource starvation of the DNS server.  The domain name that is queried is imperfectnetworks.com.,DNS,UDP,||00 13 01 00 00 01 00 00 00 00 00 00 11 ||imperfectnetworks||03 ||com||00 00 1C 00 01||
﻿FSC20040513-01_Norton_DNS_CNAME_Buffer_Overflow.xml,Norton DNS CNAME Buffer Overflow,"There is a buffer overflow vulnerability within multiple Symantec client security products. An attacker can craft a DNS packet that will overflow a buffer within the Symantec security products, allowing an attacker to execute arbitrary code on the remote client in the KERNEL level context.",DNS,UDP,||00 03 80 || ||00 01 00 01 00 00 00 00 01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||01 ||V||00 00 01 00 01 00 00 A8 C0 00 09 07 ||eclipse||00||
﻿FSC20040518-02_Symantec_DNS_Response_DoS.xml,Symantec DNS Response DoS,"There is a denial of service vulnerability within multiple Symantec client security products. An attacker can craft a DNS packet that can cause the Symantec security products to enter an infinite loop, allowing an attacker to disable all access to the host running the vulnerable product.",DNS,UDP,||C9 9C 80 00 00 01 00 01 00 00 00 00 ||@||0C 00 00 00 00||
﻿FSC20040616-01_Symantec_Enterprise_Firewall_DNSD_Proxy_Cache_Poisoning.xml,Symantec Enterprise Firewall DNSD Proxy Cache Poisoning,"There is a vulnerability in the way DNSD Proxy, a component of the Symantec Enterprise firewall, handles DNS responses. The DNSD Proxy, when operating as a DNS cache, can be poisoned by remote attackers pretending to be authoritative over domains for which they are not. This vulnerability can be exploited to direct users to malicious websites that appear to be trusted sites.",DNS,UDP,V||E4 00 00 00 01 00 00 00 00 00 00 06 ||fryxar||06 ||afraid||03 ||org||00 00 01 00 01||
FSC20040616-01_Symantec_Enterprise_Firewall_DNSD_Proxy_Cache_Poisoning.xml,Symantec Enterprise Firewall DNSD Proxy Cache Poisoning,"There is a vulnerability in the way DNSD Proxy, a component of the Symantec Enterprise firewall, handles DNS responses. The DNSD Proxy, when operating as a DNS cache, can be poisoned by remote attackers pretending to be authoritative over domains for which they are not. This vulnerability can be exploited to direct users to malicious websites that appear to be trusted sites.",DNS,UDP,V||E4 80 00 00 01 00 01 00 01 00 01 06 ||fryxar||06 ||afraid||03 ||org||00 00 01 00 01 C0 0C 00 01 00 01 00 00 0E 10 00 04 C8 C8 C8 C8 C0 1A 00 02 00 01 00 00 0E 10 00 0D 07 ||fakedns||03 ||com||00 C0 ||?||00 01 00 01 00 00 0E 10 00 04 C8 C8 C8 C9||
﻿FSC20040806-01_Red_Hat_Enterprise_Linux_DNS_Resolver_Buffer_Overflow.xml,Red Hat Enterprise Linux DNS Resolver Buffer Overflow,"A vulnerability exists in the DNS stub resolver library in ISC BIND that also affects the resolver component of older versions of the glibc library. This vulnerability has been known for some time, but has gone unfixed in several versions of the Red Hat Linux operating systems until recently. This can allow an attacker to send a malicious DNS response packets to a vulnerable system to cause a denial of service condition or execution of arbitrary code.",DNS,UDP,||D3 A9 01 00 00 01 00 00 00 00 00 00 01 ||0||01 ||0||03 ||168||03 ||192||07 ||in-addr||04 ||arpa||00 00 0C 00 01||
FSC20040806-01_Red_Hat_Enterprise_Linux_DNS_Resolver_Buffer_Overflow.xml,Red Hat Enterprise Linux DNS Resolver Buffer Overflow,"A vulnerability exists in the DNS stub resolver library in ISC BIND that also affects the resolver component of older versions of the glibc library. This vulnerability has been known for some time, but has gone unfixed in several versions of the Red Hat Linux operating systems until recently. This can allow an attacker to send a malicious DNS response packets to a vulnerable system to cause a denial of service condition or execution of arbitrary code.",DNS,UDP,||D3 A9 85 80 00 01 00 ||2||00 01 00 01 01 ||0||01 ||0||03 ||168||03 ||192||07 ||in-addr||04 ||arpa||00 00 0C 00 01 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0C 00 0C 00 01 00 01 ||Q||80 00 04 02 ||n1||00 C0 0E 00 02 00 01 00 01 ||Q||80 00 0B 09 ||localhost||00 C0 EA 00 01 00 01 00 01 ||Q||80 00 04 ||||00 00 01||
﻿FSC20041109-01_Microsoft_ISA_Server_DNS_Spoofing_Vulnerability.xml,Microsoft ISA Server DNS Spoofing Vulnerability,A vulnerability exists in the DNS cache functionality of Microsoft Internet Security and Acceleration (ISA) Server and Microsoft Proxy Server. A vulnerable server can be manipulated into caching and using an incorrect IP address for a DNS hostname. This flaw may allow an attacker to present malicious content to users under the guise of a known and trusted web site.,DNS,UDP,||00 01 01 00 00 01 00 00 00 00 00 00 02 ||97||01 ||1||01 ||2||02 ||10||07 ||in-addr||04 ||arpa||00 00 0C 00 01||
