XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿﻿﻿BGPupdateFlood.xml,BGP Update Flood,This is a flood of the Border Gateway Protocol's update message. This attack will misinform routers.  BGP typically uses TCP port 179.,BGP,BGP-Header,||00 00 00 ||H@||01 01 02 ||@||02 0A 01 02 01 F4 01 F4 02 01 FE BB ||@||03 04 C0 A8 00 0F ||@||05 04 00 00 00 ||d@||06 00 C0 07 06 FE BA C0 A8 00 0A C0 08 0C FE BF 00 01 03 16 00 04 01 ||T||00 FA 80 09 04 C0 A8 00 0F 80 0A 04 C0 A8 00 FA 10 AC 10||
﻿﻿﻿﻿﻿FloodUDPservice.xml,UDP Service Flood,"A very basic form of attack that can easily cause a DoS on most equipment. Sends out UDP traffic from random traffic sources. The UDP flood can DoS in two ways: 1) Saturates the queue of a device with connectionless UDP traffic, preventing legitimate connection oriented traffic to pass through. 2) This threat allows the user to adjust the target IP and port, possibly causing a DoS on the targets service or host operating system.",UDP,UDP,||$p ay lo ad||
﻿FloodUDPservice_liuyin.xml,UDP Service Flood,"A very basic form of attack that can easily cause a DoS on most equipment. Sends out UDP traffic from random traffic sources. The UDP flood can DoS in two ways: 1) Saturates the queue of a device with connectionless UDP traffic, preventing legitimate connection oriented traffic to pass through. 2) This threat allows the user to adjust the target IP and port, possibly causing a DoS on the targets service or host operating system.",UDP,UDP,||$p ay lo ad||
﻿IGRPreqflood.xml,IGRP Request Flood,"This threat sends a flood of multicast IGRP requests asking for routers to reply with the contents of their routing table. Not only does this reveal the details of the routing tables, it can also overwhelm the routers and cause denial of service.",IGRP,IP,||12 00 00 01 00 00 00 00 00 00 ED FE 00 00 00 00 00 00 00 00 00 00 00 00 00 00||
﻿KshGetRootFlood.xml,KSH Get Root Flood,This threat floods a user specified target with TCP PSH/ACK packets from a user specified source IP address containing the instructions '/bin/ksh' in the first packet and 'execve' in the second sequential packet. These instructions will be present when a remote user injects shellcode in an attempt to obtain root privileges. This attack may be enhanced by randomizing the source IP address.,TCP,TCP,||2f ||bi||6e 2f 6b ||sh
KshGetRootFlood.xml,KSH Get Root Flood,This threat floods a user specified target with TCP PSH/ACK packets from a user specified source IP address containing the instructions '/bin/ksh' in the first packet and 'execve' in the second sequential packet. These instructions will be present when a remote user injects shellcode in an attempt to obtain root privileges. This attack may be enhanced by randomizing the source IP address.,TCP,TCP,execve
﻿﻿﻿﻿﻿RipReqFlood.xml,RIP Request Flood,"This threat launches RIP (Routing Information Protocol) request messages, at a targeted gateway or router, from a falsified and randomized source. This will result in the responding system to send all or part of its routing table in a RIP response message. This will result in the system being tied up as a result of sending thousands of erroneous replies.",RIP,UDP,||01 01 00 00 00 02 00 00 c6 ||B||80 00 00 00 00 00 00 00 00 00 00 00 00 02||
﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿UPnP_Flood.xml,Microsoft Universal Plug and Play Denial of Service,"This threat sends multiple UDP packets at the Universal Plug and Play service (UPnP), which can cause the target to use up all available memory or crash.  When used with special payload, it can cause a remote exploit.  The threat targets the broadcast address 255.255.255.255 / FF:FF:FF:FF:FF:FF which attempts to maximize the potential damage.",UPnP,UDP,XP||0a 0d||
﻿bashGetRootFlood.xml,Bash Get Root Flood,This threat floods a user specified target with TCP PSH/ACK packets from a user specified source IP address containing the instructions '/bin/bash' in the first packet and 'execve' in the second sequential packet. These instructions will be present when a remote user injects shellcode in an attempt to obtain root privileges. This attack may be enhanced by randomizing the source IP address.,TCP,TCP,||2f ||bi||6e 2f ||bash
bashGetRootFlood.xml,Bash Get Root Flood,This threat floods a user specified target with TCP PSH/ACK packets from a user specified source IP address containing the instructions '/bin/bash' in the first packet and 'execve' in the second sequential packet. These instructions will be present when a remote user injects shellcode in an attempt to obtain root privileges. This attack may be enhanced by randomizing the source IP address.,TCP,TCP,execve
﻿cdpflood.xml,CDP Flood,This threat sends out a flood of CDP packets attempting to corrupt memory inside of a Cisco device with the CDP protocol enabled.,CDP,CDP,||8B C6 9A B5 ||o||AC 86 CF 8C DA 9F 81 BB 99 BF ||j||B0 ||~||9A 96 BB B0 D3 BD 8C B0 9A ||r||7C 83 91 A6 ||g||C9 ||zu||94 9F ||b||BE 97 9F DE ||p||D7 BC ||y||A5 D8 B2 DA B2 80 CB 8E AA 99 C6 BA B4 ||gjxm||D2 91 80 85 CE 80 ||b||83 BE DF 92 B4 B9 AA ||w||B0 ||zo||80 98 D8 AC E1 90 91 BA ||b||97 C2 ||y||A2 B3 A8 C1 D6 00 03 00 05 ||F
﻿cshGetRootFlood.xml,CSH Get Root Flood,This threat floods a user specified target with TCP PSH/ACK packets from a user specified source IP address containing the instructions '/bin/csh' in the first packet and 'execve' in the second sequential packet. These instructions will be present when a remote user injects shellcode in an attempt to obtain root privileges. This attack may be enhanced by randomizing the source IP address.,TCP,TCP,||2f ||bi||6e 2f ||csh
cshGetRootFlood.xml,CSH Get Root Flood,This threat floods a user specified target with TCP PSH/ACK packets from a user specified source IP address containing the instructions '/bin/csh' in the first packet and 'execve' in the second sequential packet. These instructions will be present when a remote user injects shellcode in an attempt to obtain root privileges. This attack may be enhanced by randomizing the source IP address.,TCP,TCP,execve
